140.5, 3431, 4, LTS, V
140.6, 2640, 3, FS, V
140.7, 1887, 2, FS, V
140.7, 2679, 3, LTS, V
140.7, 2684, 3, IB, V
140.8, 414, 0, IB, V
141, 1948, 2, IB, V
141.1, 1907, 2, FS, V
141.1, 3415, 4, FS, V
141.2, 1813, 2, RS, V
141.2, 2618, 3, RS, V
141.3, 2595, 3, RS, V
141.4, 1795, 2, RS, V
141.4, 2663, 3, FS, V
141.4, 2696, 3, IB, V
141.7, 2601, 3, RS, V
141.7, 3417, 4, FS, V
141.8, 309, 0, RS, V
141.8, 2709, 3, IB, V
141.9, 1934, 2, IB, V
141.9, 3461, 4, IB, V
142, 2713, 3, IB, V
142.2, 1899, 2, FS, V
142.2, 1902, 2, FS, V
142.2, 1953, 2, IB, V
142.5, 1946, 2, IB, V
142.6, 1897, 2, FS, V
142.7, 1163, 1, IB, V
142.7, 1909, 2, LTS, V
142.8, 2576, 3, RS, V
142.9, 1883, 2, FS, V
143.3, 1924, 2, IB, V
143.8, 1852, 2, RS, V
143.8, 1891, 2, FS, V
143.9, 1818, 2, RS, V
143.9, 2643, 3, FS, V
144, 1943, 2, IB, V
144.1, 1187, 1, IB, V
144.1, 1903, 2, FS, V
144.2, 1064, 1, RS, V
144.2, 1145, 1, FS, V
144.2, 2669, 3, LTS, V
144.3, 1804, 2, RS, V
144.3, 1878, 2, FS, V
144.4, 1857, 2, RS, V
144.4, 3412, 4, FS, V
144.6, 2658, 3, FS, V
144.8, 1123, 1, FS, V
144.8, 1890, 2, FS, V
144.9, 1867, 2, RS, V
145.1, 320, 0, RS, V
145.1, 1888, 2, FS, V
145.1, 2656, 3, FS, V
145.3, 283, 0, RS, V
145.3, 2662, 3, FS, V
145.3, 2705, 3, IB, V
145.3, 3367, 4, RS, V
145.4, 1834, 2, RS, V
145.5, 374, 0, FS, V
145.5, 1937, 2, IB, V
145.6, 1935, 2, IB, V
145.7, 1121, 1, FS, V
146, 3414, 4, FS, V
146.1, 1942, 2, IB, V
146.3, 1879, 2, FS, V
146.7, 1880, 2, FS, V
146.7, 3404, 4, FS, V
146.9, 1952, 2, IB, V
147.3, 2706, 3, IB, V
147.8, 2693, 3, IB, V
148, 3409, 4, FS, V
148.1, 1947, 2, IB, V
148.1, 2683, 3, IB, V
148.2, 2585, 3, RS, V
148.3, 2597, 3, RS, V
148.6, 1859, 2, RS, V
148.7, 1115, 1, RS, V
148.8, 1144, 1, FS, V
148.8, 1162, 1, IB, V
148.8, 1936, 2, IB, V
148.9, 1866, 2, RS, V
149, 2589, 3, RS, V
149, 3358, 4, RS, V
149.2, 1131, 1, FS, V
149.4, 1174, 1, IB, V
149.5, 2581, 3, RS, V
149.6, 3416, 4, FS, V
149.7, 2705, 3, IB, V
149.9, 2701, 3, IB, V
150, 1849, 2, RS, V
150, 2690, 3, IB, V
150, 3459, 4, IB, V
150.1, 317, 0, RS, V
150.2, 3345, 4, RS, V
150.3, 1932, 2, IB, V
150.5, 1056, 1, RS, V
150.6, 1858, 2, RS, V
150.6, 2687, 3, IB, V
150.8, 2694, 3, IB, V
150.8, 3354, 4, RS, V
150.9, 1824, 2, RS, V
151.2, 1184, 1, IB, V
151.4, 2688, 3, IB, V
151.5, 1925, 2, IB, V
151.6, 2590, 3, RS, V
151.6, 2708, 3, IB, V
151.7, 1191, 1, IB, V
151.7, 2555, 3, RS, V
151.9, 2609, 3, RS, V
152, 1947, 2, IB, V
152, 3449, 4, IB, V
152.1, 1167, 1, IB, V
152.1, 2686, 3, IB, V
152.2, 1951, 2, IB, V
152.2, 2566, 3, RS, V
152.4, 2636, 3, RS, V
152.6, 1831, 2, RS, V
152.6, 1936, 2, IB, V
152.8, 1839, 2, RS, V
152.9, 2702, 3, IB, V
153, 3430, 4, LTS, V
153.1, 407, 0, IB, V
153.1, 1120, 1, FS, V
153.1, 1796, 2, RS, V
153.1, 1832, 2, RS, V
153.2, 1134, 1, FS, V
153.2, 2588, 3, RS, V
153.2, 2693, 3, IB, V
153.3, 1190, 1, IB, V
153.3, 1929, 2, IB, V
153.4, 1844, 2, RS, V
153.5, 1922, 2, IB, V
153.5, 1940, 2, IB, V
153.5, 2642, 3, FS, V
153.7, 2691, 3, IB, V
153.9, 1932, 2, IB, V
154, 1842, 2, RS, V
154.2, 2704, 3, IB, V
154.2, 3467, 4, IB, V
154.3, 1819, 2, RS, V
154.4, 339, 0, RS, V
154.4, 1169, 1, IB, V
154.4, 1868, 2, RS, V
154.4, 1950, 2, IB, V
154.5, 2663, 3, FS, V
154.6, 1934, 2, IB, V
154.7, 1923, 2, IB, V
154.8, 1860, 2, RS, V
154.9, 1051, 1, RS, V
154.9, 3321, 4, RS, V
154.9, 3359, 4, RS, V
155, 386, 0, LTS, V
155, 1180, 1, IB, V
155, 2619, 3, RS, V
155.1, 2556, 3, RS, V
155.1, 2627, 3, RS, V
155.1, 3454, 4, IB, V
155.2, 2598, 3, RS, V
155.2, 2638, 3, FS, V
155.3, 1931, 2, IB, V
155.5, 2559, 3, RS, V
155.5, 2649, 3, FS, V
155.5, 3419, 4, FS, V
155.6, 1907, 2, FS, V
155.6, 2658, 3, FS, V
155.7, 1835, 2, RS, V
155.8, 1105, 1, RS, V
155.8, 1820, 2, RS, V
155.8, 1855, 2, RS, V
155.9, 1058, 1, RS, V
155.9, 1083, 1, RS, V
156, 2651, 3, FS, V
156.1, 1896, 2, FS, V
156.1, 2702, 3, IB, V
156.2, 1186, 1, IB, V
156.2, 2688, 3, IB, V
156.3, 1871, 2, RS, V
156.3, 1876, 2, RS, V
156.3, 3471, 4, IB, V
156.4, 1895, 2, FS, V
156.6, 1085, 1, RS, V
156.6, 1171, 1, IB, V
156.6, 2574, 3, RS, V
156.6, 2639, 3, FS, V
156.6, 2641, 3, FS, V
156.6, 3452, 4, IB, V
156.7, 1119, 1, FS, V
156.7, 2697, 3, IB, V
156.7, 2700, 3, IB, V
156.8, 1042, 1, RS, V
156.8, 1071, 1, RS, V
156.8, 2650, 3, FS, V
156.8, 2657, 3, FS, V
156.9, 1173, 1, IB, V
156.9, 1898, 2, FS, V
157, 399, 0, LTS, V
157, 1879, 2, FS, V
157, 2617, 3, RS, V
157.1, 1090, 1, RS, V
157.1, 3349, 4, RS, V
157.2, 1814, 2, RS, V
157.2, 1851, 2, RS, V
157.2, 1872, 2, RS, V
157.2, 1904, 2, FS, V
157.2, 1905, 2, FS, V
157.2, 2640, 3, FS, V
157.3, 301, 0, RS, V
157.3, 2689, 3, IB, V
157.3, 3366, 4, RS, V
157.4, 1885, 2, FS, V
157.4, 1891, 2, FS, V
157.5, 1799, 2, RS, V
157.5, 1854, 2, RS, V
157.5, 2632, 3, RS, V
157.5, 2691, 3, IB, V
