106.5, 1273, 1, FS, IV
106.5, 1297, 1, FS, IV
106.6, 448, 0, RS, IV
106.6, 1226, 1, RS, IV
106.6, 1955, 2, RS, IV
106.7, 1251, 1, RS, IV
106.7, 1276, 1, FS, IV
106.7, 1284, 1, FS, IV
106.8, 1252, 1, RS, IV
106.8, 1283, 1, FS, IV
106.9, 1996, 2, RS, IV
106.9, 2014, 2, RS, IV
107, 497, 0, RS, IV
107, 1146, 1, FS, V
107, 1271, 1, RS, IV
107, 1969, 2, RS, IV
107.1, 445, 0, RS, IV
107.1, 1127, 1, FS, V
107.1, 1131, 1, FS, V
107.1, 1263, 1, RS, IV
107.1, 1292, 1, FS, IV
107.2, 1223, 1, RS, IV
107.2, 1275, 1, FS, IV
107.3, 505, 0, RS, IV
107.3, 1151, 1, FS, V
107.3, 1229, 1, RS, IV
107.3, 3312, 4, LTS, VI
107.4, 1125, 1, FS, V
107.4, 1143, 1, FS, V
107.5, 480, 0, RS, IV
107.6, 1242, 1, RS, IV
107.8, 1278, 1, FS, IV
107.8, 1295, 1, FS, IV
107.8, 2027, 2, RS, IV
107.9, 474, 0, RS, IV
107.9, 1269, 1, RS, IV
108, 1294, 1, FS, IV
108, 1997, 2, RS, IV
108.2, 513, 0, FS, IV
108.2, 1274, 1, FS, IV
108.2, 1956, 2, RS, IV
108.2, 2038, 2, FS, IV
108.3, 514, 0, FS, IV
108.3, 522, 0, FS, IV
108.3, 1277, 1, FS, IV
108.3, 1280, 1, FS, IV
108.3, 2046, 2, FS, IV
108.4, 515, 0, FS, IV
108.4, 517, 0, FS, IV
108.4, 520, 0, FS, IV
108.4, 532, 0, FS, IV
108.4, 534, 0, FS, IV
108.4, 535, 0, FS, IV
108.4, 1247, 1, RS, IV
108.4, 1287, 1, FS, IV
108.5, 518, 0, FS, IV
108.5, 527, 0, FS, IV
108.5, 530, 0, FS, IV
108.5, 1286, 1, FS, IV
108.5, 1288, 1, FS, IV
108.5, 1293, 1, FS, IV
108.6, 397, 0, LTS, V
108.6, 529, 0, FS, IV
108.6, 531, 0, FS, IV
108.6, 1149, 1, FS, V
108.6, 1279, 1, FS, IV
108.6, 1281, 1, FS, IV
108.6, 1490, 1, FS, III
108.6, 2035, 2, FS, IV
108.6, 2036, 2, FS, IV
108.6, 2043, 2, FS, IV
108.7, 512, 0, FS, IV
108.7, 516, 0, FS, IV
108.7, 521, 0, FS, IV
108.7, 528, 0, FS, IV
108.7, 1484, 1, FS, III
108.8, 523, 0, FS, IV
108.8, 524, 0, FS, IV
108.8, 533, 0, FS, IV
108.8, 1290, 1, FS, IV
108.8, 1291, 1, FS, IV
108.8, 1304, 1, LTS, IV
108.8, 2045, 2, FS, IV
108.8, 2048, 2, FS, IV
108.8, 2049, 2, FS, IV
108.8, 2056, 2, FS, IV
108.9, 519, 0, FS, IV
108.9, 526, 0, FS, IV
108.9, 536, 0, FS, IV
108.9, 1378, 1, RS, III
108.9, 1409, 1, RS, III
108.9, 1444, 1, RS, III
108.9, 1457, 1, RS, III
108.9, 1471, 1, RS, III
108.9, 1502, 1, FS, III
108.9, 2037, 2, FS, IV
108.9, 2039, 2, FS, IV
108.9, 2042, 2, FS, IV
109, 525, 0, FS, IV
109, 1039, 1, RS, V
109, 1282, 1, FS, IV
109, 1285, 1, FS, IV
109, 1366, 1, RS, III
109, 1412, 1, RS, III
109, 1420, 1, RS, III
109, 1463, 1, RS, III
109, 2034, 2, FS, IV
109, 2047, 2, FS, IV
109, 2050, 2, FS, IV
109, 2053, 2, FS, IV
109, 2055, 2, FS, IV
109, 2058, 2, FS, IV
109.1, 1132, 1, FS, V
109.1, 1296, 1, FS, IV
109.1, 1416, 1, RS, III
109.1, 1427, 1, RS, III
109.1, 1435, 1, RS, III
109.1, 1449, 1, RS, III
109.1, 1483, 1, FS, III
109.2, 681, 0, RS, III
109.2, 1300, 1, LTS, IV
109.2, 1306, 1, LTS, IV
109.2, 1307, 1, RS, III
109.2, 1360, 1, RS, III
109.2, 1377, 1, RS, III
109.2, 1395, 1, RS, III
109.2, 1396, 1, RS, III
109.2, 1430, 1, RS, III
109.2, 1462, 1, RS, III
109.2, 2051, 2, FS, IV
109.3, 1289, 1, FS, IV
109.3, 1383, 1, RS, III
109.3, 1421, 1, RS, III
109.3, 1454, 1, RS, III
109.3, 1478, 1, FS, III
109.3, 1499, 1, FS, III
109.4, 1273, 1, FS, IV
109.4, 1297, 1, FS, IV
109.4, 1340, 1, RS, III
109.4, 1349, 1, RS, III
109.4, 1352, 1, RS, III
109.4, 1359, 1, RS, III
109.4, 1401, 1, RS, III
109.4, 1472, 1, RS, III
109.4, 1488, 1, FS, III
109.4, 1500, 1, FS, III
109.4, 2041, 2, FS, IV
109.4, 2044, 2, FS, IV
109.5, 1309, 1, RS, III
109.5, 1314, 1, RS, III
109.5, 1367, 1, RS, III
109.5, 1386, 1, RS, III
109.5, 1434, 1, RS, III
109.5, 1437, 1, RS, III
109.5, 1447, 1, RS, III
109.5, 1474, 1, FS, III
109.5, 1494, 1, FS, III
109.5, 2040, 2, FS, IV
109.5, 2052, 2, FS, IV
109.5, 2054, 2, FS, IV
109.5, 2057, 2, FS, IV
109.6, 1276, 1, FS, IV
109.6, 1284, 1, FS, IV
109.6, 1298, 1, LTS, IV
109.6, 1362, 1, RS, III
109.6, 1368, 1, RS, III
109.6, 1369, 1, RS, III
109.6, 1373, 1, RS, III
109.6, 1387, 1, RS, III
109.6, 1445, 1, RS, III
109.6, 1460, 1, RS, III
109.6, 1476, 1, FS, III
109.7, 1283, 1, FS, IV
109.7, 1312, 1, RS, III
