108.9, 1282, 1, FS, IV
108.9, 1295, 1, LTS, IV
108.9, 1319, 1, RS, III
108.9, 1321, 1, RS, III
108.9, 1403, 1, RS, III
108.9, 1434, 1, RS, III
108.9, 1457, 1, RS, III
108.9, 1475, 1, FS, III
108.9, 1482, 1, FS, III
108.9, 1512, 1, FS, III
108.9, 2041, 2, FS, IV
109, 1291, 1, FS, IV
109, 1316, 1, RS, III
109, 1385, 1, RS, III
109, 1399, 1, RS, III
109, 1420, 1, RS, III
109, 1463, 1, RS, III
109, 1477, 1, FS, III
109, 1507, 1, FS, III
109, 1956, 2, RS, IV
109, 2046, 2, FS, IV
109, 3577, 4, LTS, IV
109.1, 505, 0, RS, IV
109.1, 1283, 1, FS, IV
109.1, 1285, 1, FS, IV
109.1, 1301, 1, LTS, IV
109.1, 1310, 1, RS, III
109.1, 1311, 1, RS, III
109.1, 1386, 1, RS, III
109.1, 1465, 1, RS, III
109.1, 1471, 1, FS, III
109.1, 1484, 1, FS, III
109.2, 1276, 1, RS, IV
109.2, 1303, 1, LTS, IV
109.2, 1309, 1, RS, III
109.2, 1314, 1, RS, III
109.2, 1421, 1, RS, III
109.2, 1430, 1, RS, III
109.2, 1438, 1, RS, III
109.2, 1460, 1, RS, III
109.2, 2052, 2, FS, IV
109.3, 522, 0, FS, IV
109.3, 1288, 1, FS, IV
109.3, 1289, 1, FS, IV
109.3, 1374, 1, RS, III
109.3, 1406, 1, RS, III
109.3, 1409, 1, RS, III
109.3, 1416, 1, RS, III
109.3, 1419, 1, RS, III
109.3, 1423, 1, RS, III
109.3, 1425, 1, RS, III
109.3, 1502, 1, FS, III
109.4, 1304, 1, LTS, IV
109.4, 1326, 1, RS, III
109.4, 1329, 1, RS, III
109.4, 1333, 1, RS, III
109.4, 1358, 1, RS, III
109.4, 1366, 1, RS, III
109.4, 1387, 1, RS, III
109.4, 1388, 1, RS, III
109.4, 1389, 1, RS, III
109.4, 1395, 1, RS, III
109.4, 1396, 1, RS, III
109.4, 1427, 1, RS, III
109.4, 1440, 1, RS, III
109.4, 1468, 1, RS, III
109.4, 1493, 1, FS, III
109.4, 1494, 1, FS, III
109.4, 1505, 1, FS, III
109.4, 1997, 2, RS, IV
109.4, 2050, 2, FS, IV
109.4, 2053, 2, FS, IV
109.5, 480, 0, RS, IV
109.5, 1293, 1, LTS, IV
109.5, 1328, 1, RS, III
109.5, 1368, 1, RS, III
109.5, 1379, 1, RS, III
109.5, 1392, 1, RS, III
109.5, 1410, 1, RS, III
109.5, 1424, 1, RS, III
109.5, 1426, 1, RS, III
109.5, 1442, 1, RS, III
109.5, 1447, 1, RS, III
109.5, 1458, 1, RS, III
109.5, 1467, 1, RS, III
109.6, 1298, 1, LTS, IV
109.6, 1313, 1, RS, III
109.6, 1334, 1, RS, III
109.6, 1338, 1, RS, III
109.6, 1342, 1, RS, III
109.6, 1363, 1, RS, III
109.6, 1376, 1, RS, III
109.6, 1377, 1, RS, III
109.6, 1391, 1, RS, III
109.6, 1407, 1, RS, III
109.6, 1411, 1, RS, III
109.6, 1443, 1, RS, III
109.6, 1446, 1, RS, III
109.6, 1448, 1, RS, III
109.6, 1459, 1, RS, III
109.6, 1489, 1, FS, III
109.7, 1284, 1, FS, IV
109.7, 1296, 1, LTS, IV
