35.3, 400, 0, LTS, V
35.7, 2052, 2, LTS, IV
36.1, 3453, 4, LTS, V
36.2, 1159, 1, LTS, V
36.3, 2807, 3, LTS, IV
36.5, 2676, 3, LTS, V
36.7, 395, 0, LTS, V
36.7, 1780, 2, LTS, VI
37.1, 3452, 4, LTS, V
37.2, 1029, 1, LTS, VI
37.9, 3587, 4, LTS, IV
38, 3803, 4, LTS, III
38.8, 3437, 4, LTS, V
39.3, 2819, 3, LTS, IV
39.5, 1791, 2, LTS, VI
39.9, 2062, 2, LTS, IV
40, 1169, 1, LTS, V
40.3, 3042, 3, LTS, III
40.8, 3312, 4, LTS, VI
40.8, 3802, 4, LTS, III
41.1, 3447, 4, LTS, V
41.3, 2686, 3, LTS, V
42.2, 3448, 4, LTS, V
42.3, 1787, 2, LTS, VI
42.5, 545, 0, LTS, IV
42.5, 2679, 3, LTS, V
42.7, 2827, 3, LTS, IV
43.1, 2064, 2, LTS, IV
43.1, 3579, 4, LTS, IV
43.1, 3582, 4, LTS, IV
43.7, 2058, 2, LTS, IV
44.1, 2547, 3, LTS, VI
44.3, 2688, 3, LTS, V
44.6, 2545, 3, LTS, VI
44.6, 2682, 3, LTS, V
45.8, 1302, 1, LTS, IV
45.9, 3036, 3, LTS, III
46.2, 1792, 2, LTS, VI
46.2, 2273, 2, LTS, III
46.5, 1024, 1, LTS, VI
46.7, 3575, 4, LTS, IV
46.8, 752, 0, LTS, III
46.8, 2552, 3, LTS, VI
47.1, 1299, 1, LTS, IV
47.2, 1165, 1, LTS, V
47.3, 2053, 2, LTS, IV
47.4, 1160, 1, LTS, V
47.7, 2814, 3, LTS, IV
47.9, 1788, 2, LTS, VI
48.3, 1784, 2, LTS, VI
48.7, 3307, 4, LTS, VI
48.9, 1925, 2, LTS, V
49.1, 270, 0, LTS, VI
49.1, 3576, 4, LTS, IV
49.2, 1510, 1, LTS, III
49.3, 1168, 1, LTS, V
49.4, 2061, 2, LTS, IV
49.9, 3040, 3, LTS, III
50.4, 1286, 1, LTS, IV
50.5, 1164, 1, LTS, V
51, 1518, 1, LTS, III
51.1, 2049, 2, LTS, IV
51.3, 2067, 2, LTS, IV
52.2, 2543, 3, LTS, VI
52.4, 538, 0, LTS, IV
52.6, 1513, 1, LTS, III
52.7, 2271, 2, LTS, III
52.7, 3445, 4, LTS, V
53, 1786, 2, LTS, VI
53, 1924, 2, LTS, V
53, 2685, 3, LTS, V
53.6, 1782, 2, LTS, VI
53.8, 2278, 2, LTS, III
54.1, 3315, 4, LTS, VI
54.4, 1296, 1, LTS, IV
54.5, 3438, 4, LTS, V
55, 2684, 3, LTS, V
55.2, 1157, 1, LTS, V
55.4, 2692, 3, LTS, V
56.3, 2687, 3, LTS, V
56.5, 1920, 2, LTS, V
56.7, 261, 0, LTS, VI
56.7, 3574, 4, LTS, IV
57, 534, 0, LTS, IV
57.1, 880, 1, RS, VI
57.2, 1923, 2, LTS, V
57.2, 2050, 2, LTS, IV
57.3, 259, 0, LTS, VI
57.5, 2542, 3, LTS, VI
57.6, 262, 0, LTS, VI
57.6, 1019, 1, LTS, VI
57.7, 3304, 4, LTS, VI
57.9, 404, 0, LTS, V
57.9, 1515, 1, LTS, III
58.2, 3310, 4, LTS, VI
59, 3440, 4, LTS, V
59.1, 2064, 2, LTS, IV
59.9, 1930, 2, LTS, V
