107.2, 445, 0, RS, IV
107.2, 1247, 1, RS, IV
107.3, 519, 0, RS, IV
107.3, 1143, 1, FS, V
107.3, 1252, 1, RS, IV
107.3, 1269, 1, RS, IV
107.4, 1125, 1, FS, V
107.4, 1130, 1, FS, V
107.4, 1229, 1, RS, IV
107.5, 1200, 1, RS, IV
107.5, 1263, 1, RS, IV
107.6, 480, 0, RS, IV
107.6, 1064, 1, RS, V
107.6, 1287, 1, FS, IV
107.6, 2027, 2, RS, IV
107.8, 681, 0, RS, III
107.8, 1295, 1, FS, IV
107.9, 1126, 1, FS, V
107.9, 1997, 2, RS, IV
108, 1131, 1, FS, V
108, 1145, 1, FS, V
108.1, 474, 0, RS, IV
108.1, 528, 0, FS, IV
108.1, 530, 0, FS, IV
108.1, 1956, 2, RS, IV
108.1, 2048, 2, FS, IV
108.2, 524, 0, FS, IV
108.2, 534, 0, FS, IV
108.2, 2047, 2, FS, IV
108.3, 1290, 1, FS, IV
108.3, 1293, 1, FS, IV
108.4, 525, 0, FS, IV
108.4, 533, 0, FS, IV
108.4, 535, 0, FS, IV
108.4, 1123, 1, FS, V
108.4, 1286, 1, FS, IV
108.4, 1446, 1, RS, III
108.5, 1294, 1, FS, IV
108.5, 1311, 1, RS, III
108.5, 2044, 2, FS, IV
108.5, 2046, 2, FS, IV
108.5, 2049, 2, FS, IV
108.6, 527, 0, FS, IV
108.6, 531, 0, FS, IV
108.6, 2050, 2, FS, IV
108.7, 526, 0, FS, IV
108.7, 529, 0, FS, IV
108.7, 532, 0, FS, IV
108.7, 1232, 1, RS, IV
108.7, 1296, 1, FS, IV
108.7, 1300, 1, LTS, IV
108.7, 1421, 1, RS, III
108.7, 1471, 1, RS, III
108.8, 517, 0, RS, IV
108.8, 1301, 1, LTS, IV
108.8, 1367, 1, RS, III
108.8, 1418, 1, RS, III
108.8, 1499, 1, FS, III
108.8, 2045, 2, FS, IV
108.9, 522, 0, FS, IV
108.9, 523, 0, FS, IV
108.9, 1129, 1, FS, V
108.9, 1132, 1, FS, V
108.9, 1285, 1, FS, IV
108.9, 1288, 1, FS, IV
108.9, 1297, 1, LTS, IV
108.9, 1333, 1, RS, III
108.9, 1366, 1, RS, III
108.9, 1373, 1, RS, III
108.9, 1484, 1, FS, III
108.9, 1491, 1, FS, III
108.9, 2053, 2, FS, IV
108.9, 2055, 2, FS, IV
108.9, 2056, 2, FS, IV
109, 1276, 1, RS, IV
109, 1321, 1, RS, III
109, 1371, 1, RS, III
109, 1387, 1, RS, III
109, 1394, 1, RS, III
109, 1440, 1, RS, III
109, 1472, 1, RS, III
109, 2052, 2, FS, IV
109.1, 1298, 1, LTS, IV
109.1, 1314, 1, RS, III
109.1, 1323, 1, RS, III
109.1, 1336, 1, RS, III
109.1, 1357, 1, RS, III
109.1, 1428, 1, RS, III
109.1, 1460, 1, RS, III
109.1, 1494, 1, FS, III
109.2, 1284, 1, FS, IV
109.2, 1319, 1, RS, III
109.2, 1328, 1, RS, III
109.2, 1355, 1, RS, III
109.2, 1361, 1, RS, III
109.2, 1391, 1, RS, III
109.2, 1448, 1, RS, III
109.2, 1468, 1, RS, III
109.2, 1480, 1, FS, III
109.2, 2051, 2, FS, IV
109.2, 2266, 2, LTS, III
109.3, 1289, 1, FS, IV
109.3, 1331, 1, RS, III
109.3, 1338, 1, RS, III
109.3, 1430, 1, RS, III
109.3, 1459, 1, RS, III
109.3, 1476, 1, RS, III
109.3, 1502, 1, FS, III
109.4, 1283, 1, FS, IV
109.4, 1316, 1, RS, III
109.4, 1348, 1, RS, III
109.4, 1349, 1, RS, III
109.4, 1362, 1, RS, III
109.4, 1375, 1, RS, III
109.4, 1393, 1, RS, III
109.4, 1395, 1, RS, III
109.4, 1437, 1, RS, III
109.4, 1500, 1, FS, III
109.4, 1967, 2, RS, IV
109.5, 1291, 1, FS, IV
109.5, 1312, 1, RS, III
109.5, 1386, 1, RS, III
109.5, 1389, 1, RS, III
109.5, 1399, 1, RS, III
109.5, 1407, 1, RS, III
109.5, 1436, 1, RS, III
109.5, 1447, 1, RS, III
109.5, 1451, 1, RS, III
109.5, 1457, 1, RS, III
109.5, 1483, 1, FS, III
109.5, 1487, 1, FS, III
109.5, 1488, 1, FS, III
109.5, 2054, 2, FS, IV
109.5, 2057, 2, FS, IV
109.6, 1308, 1, RS, III
109.6, 1309, 1, RS, III
109.6, 1332, 1, RS, III
109.6, 1372, 1, RS, III
109.6, 1396, 1, RS, III
109.6, 1404, 1, RS, III
109.6, 1408, 1, RS, III
109.6, 1411, 1, RS, III
109.6, 1439, 1, RS, III
109.6, 1481, 1, FS, III
109.6, 1482, 1, FS, III
109.6, 1495, 1, FS, III
109.7, 1292, 1, FS, IV
109.7, 1304, 1, LTS, IV
109.7, 1317, 1, RS, III
109.7, 1335, 1, RS, III
109.7, 1377, 1, RS, III
109.7, 1382, 1, RS, III
109.7, 1406, 1, RS, III
109.7, 1412, 1, RS, III
109.7, 1419, 1, RS, III
109.7, 1425, 1, RS, III
109.7, 1431, 1, RS, III
109.7, 1489, 1, FS, III
109.7, 1504, 1, FS, III
109.8, 438, 0, RS, IV
109.8, 1310, 1, RS, III
109.8, 1343, 1, RS, III
109.8, 1350, 1, RS, III
109.8, 1354, 1, RS, III
109.8, 1378, 1, RS, III
109.8, 1384, 1, RS, III
109.8, 1388, 1, RS, III
109.8, 1414, 1, RS, III
109.8, 1416, 1, RS, III
109.8, 1424, 1, RS, III
109.8, 1426, 1, RS, III
109.8, 1438, 1, RS, III
109.8, 1450, 1, RS, III
109.8, 1462, 1, RS, III
109.8, 1470, 1, RS, III
109.8, 1486, 1, FS, III
109.9, 1302, 1, LTS, IV
109.9, 1329, 1, RS, III
109.9, 1342, 1, RS, III
109.9, 1360, 1, RS, III
109.9, 1374, 1, RS, III
109.9, 1397, 1, RS, III
109.9, 1402, 1, RS, III
109.9, 1403, 1, RS, III
109.9, 1405, 1, RS, III
109.9, 1420, 1, RS, III
109.9, 1445, 1, RS, III
109.9, 1449, 1, RS, III
109.9, 1456, 1, RS, III
109.9, 1477, 1, RS, III
110, 1344, 1, RS, III
110, 1352, 1, RS, III
110, 1358, 1, RS, III
110, 1413, 1, RS, III
110, 1422, 1, RS, III
110, 1432, 1, RS, III
110.1, 1341, 1, RS, III
110.1, 1346, 1, RS, III
110.1, 1356, 1, RS, III
110.1, 1370, 1, RS, III
110.1, 1434, 1, RS, III
110.1, 1455, 1, RS, III
110.1, 1478, 1, FS, III
110.2, 1137, 1, FS, V
110.2, 1299, 1, LTS, IV
110.2, 1303, 1, LTS, IV
110.2, 1318, 1, RS, III
110.2, 1337, 1, RS, III
110.2, 1364, 1, RS, III
110.2, 1379, 1, RS, III
110.2, 1392, 1, RS, III
