10.9, 2056, 2, LTS, IV
107.2, 1257, 1, RS, IV
107.2, 1258, 1, RS, IV
107.2, 1277, 1, FS, IV
107.2, 1289, 1, FS, IV
107.3, 1142, 1, FS, V
107.3, 1266, 1, FS, IV
107.3, 1281, 1, FS, IV
107.3, 2044, 2, FS, IV
107.4, 1248, 1, RS, IV
107.5, 520, 0, FS, IV
107.5, 1279, 1, FS, IV
107.5, 2045, 2, FS, IV
107.6, 1209, 1, RS, IV
107.6, 1215, 1, RS, IV
107.6, 1241, 1, RS, IV
107.6, 1269, 1, FS, IV
107.7, 1122, 1, FS, V
107.7, 1146, 1, FS, V
107.7, 1256, 1, RS, IV
107.7, 1259, 1, RS, IV
107.7, 2032, 2, FS, IV
107.8, 1130, 1, FS, V
107.8, 1214, 1, RS, IV
107.8, 1234, 1, RS, IV
107.8, 1267, 1, FS, IV
107.8, 1282, 1, FS, IV
107.9, 1136, 1, FS, V
107.9, 1208, 1, RS, IV
107.9, 1262, 1, RS, IV
107.9, 1283, 1, FS, IV
107.9, 1284, 1, FS, IV
107.9, 1285, 1, FS, IV
108.1, 1139, 1, FS, V
108.1, 2036, 2, FS, IV
108.1, 2059, 2, LTS, IV
108.2, 681, 0, RS, III
108.2, 1121, 1, FS, V
108.2, 1226, 1, RS, IV
108.2, 1245, 1, RS, IV
108.2, 1261, 1, RS, IV
108.2, 1273, 1, FS, IV
108.2, 1275, 1, FS, IV
108.2, 1288, 1, FS, IV
108.3, 1210, 1, RS, IV
108.3, 1276, 1, FS, IV
108.4, 524, 0, FS, IV
108.4, 1113, 1, FS, V
108.4, 1219, 1, RS, IV
108.4, 1230, 1, RS, IV
108.5, 1235, 1, RS, IV
108.5, 1271, 1, FS, IV
108.5, 2040, 2, FS, IV
108.6, 1265, 1, RS, IV
108.6, 1270, 1, FS, IV
108.6, 2034, 2, FS, IV
108.7, 1278, 1, FS, IV
108.8, 510, 0, FS, IV
108.8, 514, 0, FS, IV
108.8, 1112, 1, FS, V
108.9, 1194, 1, RS, IV
108.9, 1224, 1, RS, IV
108.9, 1272, 1, FS, IV
108.9, 1280, 1, FS, IV
109, 528, 0, FS, IV
109, 1196, 1, RS, IV
109.1, 1141, 1, FS, V
109.1, 1268, 1, FS, IV
109.1, 2047, 2, FS, IV
109.2, 2046, 2, FS, IV
109.3, 1197, 1, RS, IV
109.3, 1287, 1, FS, IV
109.3, 2038, 2, FS, IV
109.4, 1274, 1, FS, IV
109.4, 2039, 2, FS, IV
109.5, 525, 0, FS, IV
109.5, 1286, 1, FS, IV
109.5, 2029, 2, FS, IV
109.6, 521, 0, FS, IV
109.6, 2033, 2, FS, IV
109.7, 1237, 1, RS, IV
109.8, 511, 0, FS, IV
109.8, 518, 0, FS, IV
109.9, 1127, 1, FS, V
109.9, 2041, 2, FS, IV
109.9, 2807, 3, FS, IV
110, 2028, 2, FS, IV
110.1, 1138, 1, FS, V
110.1, 1277, 1, FS, IV
110.1, 1289, 1, FS, IV
110.1, 1476, 1, RS, III
110.2, 1266, 1, FS, IV
110.2, 1281, 1, FS, IV
110.2, 1452, 1, RS, III
110.3, 1359, 1, RS, III
110.3, 1459, 1, RS, III
110.3, 2048, 2, FS, IV
110.4, 1263, 1, RS, IV
110.4, 1279, 1, FS, IV
110.5, 512, 0, FS, IV
110.5, 1269, 1, FS, IV
110.5, 1409, 1, RS, III
110.5, 1505, 1, FS, III
110.6, 506, 0, FS, IV
110.6, 1330, 1, RS, III
110.6, 1453, 1, RS, III
110.6, 1472, 1, RS, III
110.7, 1267, 1, FS, IV
110.7, 1282, 1, FS, IV
110.7, 1366, 1, RS, III
110.7, 1383, 1, RS, III
110.7, 1438, 1, RS, III
110.7, 1511, 1, FS, III
110.7, 2031, 2, FS, IV
110.7, 2049, 2, FS, IV
110.7, 2278, 2, LTS, III
110.8, 1283, 1, FS, IV
110.8, 1284, 1, FS, IV
110.8, 1285, 1, FS, IV
110.8, 1348, 1, RS, III
110.8, 1469, 1, RS, III
110.8, 1494, 1, FS, III
110.8, 2035, 2, FS, IV
110.9, 509, 0, FS, IV
110.9, 1355, 1, RS, III
110.9, 1361, 1, RS, III
110.9, 1396, 1, RS, III
110.9, 1400, 1, RS, III
110.9, 1407, 1, RS, III
110.9, 1463, 1, RS, III
110.9, 1496, 1, FS, III
110.9, 2042, 2, FS, IV
110.9, 3444, 4, LTS, V
111, 1314, 1, RS, III
111, 1320, 1, RS, III
111, 1352, 1, RS, III
111, 1377, 1, RS, III
111, 2036, 2, FS, IV
111.1, 1273, 1, FS, IV
111.1, 1275, 1, FS, IV
111.1, 1288, 1, FS, IV
111.1, 1426, 1, RS, III
111.1, 1480, 1, FS, III
111.2, 1276, 1, FS, IV
111.2, 1315, 1, RS, III
111.2, 1319, 1, RS, III
111.2, 1328, 1, RS, III
111.2, 1371, 1, RS, III
111.2, 1423, 1, RS, III
111.2, 1490, 1, FS, III
111.2, 1500, 1, FS, III
111.2, 2037, 2, FS, IV
111.3, 1333, 1, RS, III
111.3, 1356, 1, RS, III
111.3, 1363, 1, RS, III
111.3, 1368, 1, RS, III
111.3, 1397, 1, RS, III
111.3, 1406, 1, RS, III
111.3, 1411, 1, RS, III
111.3, 1414, 1, RS, III
111.3, 1448, 1, RS, III
111.4, 523, 0, FS, IV
111.4, 1271, 1, FS, IV
111.4, 1298, 1, LTS, IV
111.4, 1349, 1, RS, III
111.4, 1358, 1, RS, III
111.4, 1360, 1, RS, III
111.4, 1387, 1, RS, III
111.4, 1410, 1, RS, III
111.4, 1416, 1, RS, III
111.4, 1421, 1, RS, III
111.4, 1422, 1, RS, III
111.4, 1430, 1, RS, III
111.5, 1270, 1, FS, IV
111.5, 1295, 1, LTS, IV
111.5, 1332, 1, RS, III
111.5, 1412, 1, RS, III
111.5, 1454, 1, RS, III
111.5, 1455, 1, RS, III
111.5, 1462, 1, RS, III
111.5, 1464, 1, RS, III
111.5, 1471, 1, RS, III
111.5, 1477, 1, RS, III
111.5, 1495, 1, FS, III
111.5, 1510, 1, FS, III
111.5, 2043, 2, FS, IV
111.6, 1278, 1, FS, IV
111.6, 1309, 1, RS, III
111.6, 1367, 1, RS, III
111.6, 1388, 1, RS, III
111.6, 1434, 1, RS, III
111.6, 1439, 1, RS, III
111.6, 1478, 1, RS, III
111.6, 1501, 1, FS, III
111.6, 1509, 1, FS, III
111.7, 514, 0, FS, IV
111.7, 1372, 1, RS, III
111.7, 1466, 1, RS, III
111.7, 1474, 1, RS, III
111.8, 519, 0, FS, IV
111.8, 1272, 1, FS, IV
111.8, 1344, 1, RS, III
111.8, 1353, 1, RS, III
111.8, 1402, 1, RS, III
111.8, 1420, 1, RS, III
111.8, 1441, 1, RS, III
111.8, 1470, 1, RS, III
111.8, 1504, 1, FS, III
111.8, 1507, 1, FS, III
111.9, 1306, 1, LTS, IV
111.9, 1345, 1, RS, III
111.9, 1375, 1, RS, III
111.9, 1376, 1, RS, III
111.9, 1381, 1, RS, III
111.9, 1415, 1, RS, III
111.9, 1419, 1, RS, III
111.9, 1457, 1, RS, III
111.9, 1487, 1, FS, III
111.9, 2030, 2, FS, IV
112, 1268, 1, FS, IV
112, 1336, 1, RS, III
112, 1342, 1, RS, III
112, 1370, 1, RS, III
112, 1373, 1, RS, III
112, 1444, 1, RS, III
112, 1450, 1, RS, III
112, 1467, 1, RS, III
112, 2672, 3, LTS, V
112.1, 1318, 1, RS, III
112.1, 1343, 1, RS, III
112.1, 1392, 1, RS, III
112.1, 1399, 1, RS, III
112.1, 1433, 1, RS, III
112.1, 1440, 1, RS, III
112.2, 513, 0, FS, IV
112.2, 1354, 1, RS, III
112.2, 1369, 1, RS, III
112.2, 1384, 1, RS, III
112.2, 1405, 1, RS, III
112.2, 1431, 1, RS, III
112.2, 1436, 1, RS, III
112.2, 2032, 2, FS, IV
112.3, 1274, 1, FS, IV
112.3, 1280, 1, FS, IV
112.3, 1395, 1, RS, III
112.3, 1417, 1, RS, III
112.3, 1437, 1, RS, III
112.3, 1506, 1, FS, III
112.4, 520, 0, FS, IV
112.4, 1317, 1, RS, III
112.4, 1325, 1, RS, III
112.4, 1351, 1, RS, III
112.4, 1389, 1, RS, III
112.4, 1398, 1, RS, III
112.4, 1446, 1, RS, III
112.4, 1458, 1, RS, III
112.4, 1461, 1, RS, III
112.4, 1484, 1, FS, III
112.4, 1485, 1, FS, III
112.4, 1497, 1, FS, III
112.4, 1499, 1, FS, III
112.5, 526, 0, FS, IV
112.5, 1394, 1, RS, III
112.5, 1404, 1, RS, III
112.5, 1443, 1, RS, III
112.5, 1473, 1, RS, III
112.5, 1503, 1, FS, III
112.6, 1310, 1, RS, III
112.6, 1311, 1, RS, III
112.6, 1321, 1, RS, III
112.6, 1347, 1, RS, III
112.6, 1403, 1, RS, III
112.6, 1442, 1, RS, III
112.6, 1447, 1, RS, III
112.6, 1492, 1, FS, III
112.6, 2034, 2, FS, IV
112.7, 511, 0, FS, IV
112.7, 1335, 1, RS, III
112.7, 1350, 1, RS, III
112.7, 1465, 1, RS, III
112.7, 2159, 2, RS, III
112.8, 1316, 1, RS, III
112.8, 1329, 1, RS, III
112.8, 1341, 1, RS, III
112.8, 1379, 1, RS, III
112.8, 1486, 1, FS, III
112.9, 1313, 1, RS, III
112.9, 1334, 1, RS, III
112.9, 1339, 1, RS, III
112.9, 1340, 1, RS, III
112.9, 1346, 1, RS, III
112.9, 1364, 1, RS, III
112.9, 1432, 1, RS, III
113, 1294, 1, LTS, IV
113, 1304, 1, LTS, IV
113, 1312, 1, RS, III
113, 1324, 1, RS, III
113, 1357, 1, RS, III
113, 1380, 1, RS, III
113, 1493, 1, FS, III
113, 1508, 1, FS, III
113.1, 1323, 1, RS, III
113.1, 1338, 1, RS, III
113.1, 1428, 1, RS, III
113.1, 1483, 1, FS, III
113.2, 1374, 1, RS, III
113.2, 1378, 1, RS, III
113.3, 1424, 1, RS, III
113.3, 1479, 1, FS, III
113.4, 522, 0, FS, IV
113.4, 1362, 1, RS, III
113.4, 1382, 1, RS, III
113.4, 1427, 1, RS, III
113.4, 1456, 1, RS, III
113.4, 2029, 2, FS, IV
113.5, 1468, 1, RS, III
113.6, 1307, 1, RS, III
113.6, 1308, 1, RS, III
113.6, 1418, 1, RS, III
113.7, 1337, 1, RS, III
113.7, 1386, 1, RS, III
113.7, 1435, 1, RS, III
113.7, 1481, 1, FS, III
113.7, 2045, 2, FS, IV
113.8, 508, 0, FS, IV
113.9, 1502, 1, FS, III
113.9, 2039, 2, FS, IV
114, 1475, 1, RS, III
114.1, 1327, 1, RS, III
114.1, 1390, 1, RS, III
114.2, 1445, 1, RS, III
114.3, 1331, 1, RS, III
114.3, 1449, 1, RS, III
114.3, 1451, 1, RS, III
114.3, 1496, 1, FS, III
114.4, 1489, 1, FS, III
114.5, 1429, 1, RS, III
114.5, 1482, 1, FS, III
114.5, 1494, 1, FS, III
114.5, 1495, 1, FS, III
114.5, 1498, 1, FS, III
114.6, 1322, 1, RS, III
114.6, 1401, 1, RS, III
114.6, 1413, 1, RS, III
114.8, 1500, 1, FS, III
114.9, 1068, 1, RS, V
115, 1079, 1, RS, V
115, 1084, 1, RS, V
115, 1092, 1, RS, V
115, 1186, 1, IB, V
115, 1491, 1, FS, III
115, 1501, 1, FS, III
115, 1510, 1, FS, III
115.1, 732, 0, FS, III
115.1, 1037, 1, RS, V
115.1, 1178, 1, IB, V
115.1, 1385, 1, RS, III
115.1, 1460, 1, RS, III
115.1, 2805, 3, FS, IV
115.2, 733, 0, FS, III
115.2, 750, 0, FS, III
115.2, 1070, 1, RS, V
115.2, 1071, 1, RS, V
115.2, 1075, 1, RS, V
115.2, 1088, 1, RS, V
115.2, 1089, 1, RS, V
115.2, 1180, 1, IB, V
115.2, 1391, 1, RS, III
115.2, 1506, 1, FS, III
115.3, 1034, 1, RS, V
115.3, 1099, 1, RS, V
115.3, 1109, 1, RS, V
115.3, 1170, 1, IB, V
115.3, 1484, 1, FS, III
115.3, 1485, 1, FS, III
115.3, 1497, 1, FS, III
115.3, 3456, 4, IB, V
115.4, 1051, 1, RS, V
115.4, 1056, 1, RS, V
115.4, 1095, 1, RS, V
115.4, 1182, 1, IB, V
115.4, 2262, 2, FS, III
115.5, 1039, 1, RS, V
115.5, 1045, 1, RS, V
115.5, 1073, 1, RS, V
115.5, 1081, 1, RS, V
115.5, 1098, 1, RS, V
115.5, 1167, 1, IB, V
115.5, 1177, 1, IB, V
115.5, 1183, 1, IB, V
115.5, 1487, 1, FS, III
115.5, 1492, 1, FS, III
115.5, 1509, 1, FS, III
115.5, 2254, 2, FS, III
115.6, 718, 0, FS, III
115.6, 731, 0, FS, III
115.6, 1049, 1, RS, V
115.6, 1055, 1, RS, V
115.6, 1069, 1, RS, V
115.6, 1086, 1, RS, V
115.6, 1105, 1, RS, V
115.6, 1107, 1, RS, V
115.6, 1187, 1, IB, V
115.6, 1425, 1, RS, III
115.6, 2263, 2, FS, III
115.6, 2270, 2, FS, III
115.7, 722, 0, FS, III
115.7, 740, 0, FS, III
115.7, 1036, 1, RS, V
115.7, 1038, 1, RS, V
115.7, 1053, 1, RS, V
115.7, 1057, 1, RS, V
115.7, 1490, 1, FS, III
115.7, 1504, 1, FS, III
115.7, 2241, 2, FS, III
115.7, 2264, 2, FS, III
115.8, 720, 0, FS, III
115.8, 744, 0, FS, III
115.8, 1050, 1, RS, V
115.8, 1066, 1, RS, V
115.8, 1074, 1, RS, V
115.8, 1078, 1, RS, V
115.8, 1097, 1, RS, V
115.8, 1168, 1, IB, V
115.8, 1174, 1, IB, V
115.8, 1175, 1, IB, V
115.8, 1179, 1, IB, V
115.8, 1181, 1, IB, V
115.8, 1189, 1, IB, V
115.8, 1269, 1, FS, IV
115.8, 1393, 1, RS, III
115.8, 2252, 2, FS, III
115.8, 2268, 2, FS, III
115.9, 726, 0, FS, III
115.9, 749, 0, FS, III
115.9, 1046, 1, RS, V
115.9, 1054, 1, RS, V
115.9, 1090, 1, RS, V
115.9, 1173, 1, IB, V
115.9, 1326, 1, RS, III
115.9, 1493, 1, FS, III
115.9, 2245, 2, FS, III
115.9, 2251, 2, FS, III
115.9, 2259, 2, FS, III
115.9, 2260, 2, FS, III
116, 734, 0, FS, III
116, 746, 0, FS, III
116, 747, 0, FS, III
116, 1040, 1, RS, V
116, 1044, 1, RS, V
116, 1047, 1, RS, V
116, 1072, 1, RS, V
116, 1080, 1, RS, V
116, 1100, 1, RS, V
116, 1166, 1, IB, V
116, 1172, 1, IB, V
116, 2240, 2, FS, III
116, 2247, 2, FS, III
116, 2265, 2, FS, III
116, 2267, 2, FS, III
116.1, 721, 0, FS, III
116.1, 723, 0, FS, III
116.1, 724, 0, FS, III
116.1, 729, 0, FS, III
116.1, 739, 0, FS, III
116.1, 1052, 1, RS, V
116.1, 1065, 1, RS, V
116.1, 1171, 1, IB, V
116.1, 1190, 1, IB, V
116.1, 1191, 1, IB, V
116.1, 2242, 2, FS, III
116.1, 2255, 2, FS, III
116.2, 730, 0, FS, III
116.2, 742, 0, FS, III
116.2, 743, 0, FS, III
116.2, 1043, 1, RS, V
116.2, 2250, 2, FS, III
116.2, 2261, 2, FS, III
116.3, 719, 0, FS, III
116.3, 727, 0, FS, III
116.3, 737, 0, FS, III
116.3, 738, 0, FS, III
116.3, 1035, 1, RS, V
116.3, 1042, 1, RS, V
116.3, 1062, 1, RS, V
116.3, 1076, 1, RS, V
116.3, 1093, 1, RS, V
116.3, 1102, 1, RS, V
116.3, 1103, 1, RS, V
116.3, 1185, 1, IB, V
116.3, 2256, 2, FS, III
116.3, 2269, 2, FS, III
116.4, 725, 0, FS, III
116.4, 728, 0, FS, III
116.4, 1060, 1, RS, V
116.4, 1061, 1, RS, V
116.4, 1085, 1, RS, V
116.4, 1087, 1, RS, V
116.4, 1096, 1, RS, V
116.4, 1476, 1, RS, III
116.4, 1480, 1, FS, III
116.4, 2258, 2, FS, III
116.5, 736, 0, FS, III
116.5, 741, 0, FS, III
116.5, 1058, 1, RS, V
116.5, 1059, 1, RS, V
116.5, 1082, 1, RS, V
116.5, 1083, 1, RS, V
116.5, 1101, 1, RS, V
116.5, 1176, 1, IB, V
116.5, 1192, 1, IB, V
116.5, 1452, 1, RS, III
116.5, 1486, 1, FS, III
116.6, 1091, 1, RS, V
116.6, 1108, 1, RS, V
116.6, 1359, 1, RS, III
116.6, 1459, 1, RS, III
116.6, 2243, 2, FS, III
116.6, 2248, 2, FS, III
116.6, 2271, 2, FS, III
116.7, 1041, 1, RS, V
116.7, 1048, 1, RS, V
116.7, 1067, 1, RS, V
116.7, 1077, 1, RS, V
116.7, 1104, 1, RS, V
116.7, 2257, 2, FS, III
116.8, 745, 0, FS, III
116.8, 748, 0, FS, III
116.8, 1033, 1, RS, V
116.8, 1094, 1, RS, V
116.8, 1106, 1, RS, V
116.8, 1409, 1, RS, III
116.8, 1505, 1, FS, III
116.8, 2244, 2, FS, III
116.8, 2246, 2, FS, III
116.8, 2266, 2, FS, III
116.9, 1063, 1, RS, V
116.9, 1188, 1, IB, V
116.9, 1330, 1, RS, III
116.9, 1408, 1, RS, III
116.9, 1453, 1, RS, III
116.9, 1472, 1, RS, III
116.9, 2272, 2, FS, III
117, 735, 0, FS, III
117, 1169, 1, IB, V
117, 1184, 1, IB, V
117, 1366, 1, RS, III
117, 1383, 1, RS, III
117, 1438, 1, RS, III
117, 2253, 2, FS, III
117.1, 1348, 1, RS, III
117.1, 1469, 1, RS, III
117.1, 2249, 2, FS, III
117.2, 1355, 1, RS, III
117.2, 1361, 1, RS, III
117.2, 1396, 1, RS, III
117.2, 1400, 1, RS, III
117.2, 1407, 1, RS, III
117.2, 1463, 1, RS, III
117.3, 1314, 1, RS, III
117.3, 1352, 1, RS, III
117.4, 1426, 1, RS, III
117.5, 1064, 1, RS, V
117.5, 1315, 1, RS, III
117.5, 1328, 1, RS, III
117.5, 1371, 1, RS, III
117.5, 1423, 1, RS, III
117.6, 1333, 1, RS, III
117.6, 1363, 1, RS, III
117.6, 1368, 1, RS, III
117.6, 1397, 1, RS, III
117.6, 1406, 1, RS, III
117.6, 1411, 1, RS, III
117.7, 1349, 1, RS, III
117.7, 1358, 1, RS, III
117.7, 1360, 1, RS, III
117.7, 1387, 1, RS, III
117.7, 1416, 1, RS, III
117.7, 1422, 1, RS, III
117.7, 1430, 1, RS, III
117.8, 1332, 1, RS, III
117.8, 1412, 1, RS, III
117.8, 1454, 1, RS, III
117.8, 1455, 1, RS, III
117.8, 1462, 1, RS, III
117.8, 1464, 1, RS, III
117.8, 1477, 1, RS, III
117.9, 1309, 1, RS, III
117.9, 1367, 1, RS, III
117.9, 1388, 1, RS, III
117.9, 1434, 1, RS, III
117.9, 1439, 1, RS, III
117.9, 1478, 1, RS, III
118, 732, 0, FS, III
118, 1372, 1, RS, III
118, 1466, 1, RS, III
118, 1474, 1, RS, III
118.1, 733, 0, FS, III
118.1, 750, 0, FS, III
118.1, 1111, 1, FS, V
118.1, 1117, 1, FS, V
118.1, 1344, 1, RS, III
118.1, 1353, 1, RS, III
118.1, 1402, 1, RS, III
118.1, 1441, 1, RS, III
118.1, 3016, 3, FS, III
118.2, 1110, 1, FS, V
118.2, 1122, 1, FS, V
118.2, 1129, 1, FS, V
118.2, 1135, 1, FS, V
118.2, 1145, 1, FS, V
118.2, 1345, 1, RS, III
118.2, 1376, 1, RS, III
118.2, 1381, 1, RS, III
118.2, 1415, 1, RS, III
118.2, 1419, 1, RS, III
118.3, 1115, 1, FS, V
118.3, 1120, 1, FS, V
118.3, 1123, 1, FS, V
118.3, 1126, 1, FS, V
118.3, 1130, 1, FS, V
118.3, 1131, 1, FS, V
118.3, 1134, 1, FS, V
118.3, 1140, 1, FS, V
118.3, 1142, 1, FS, V
118.3, 1143, 1, FS, V
118.3, 1336, 1, RS, III
118.3, 1342, 1, RS, III
118.3, 2262, 2, FS, III
118.4, 1116, 1, FS, V
118.4, 1118, 1, FS, V
118.4, 1119, 1, FS, V
118.4, 1121, 1, FS, V
118.4, 1132, 1, FS, V
118.4, 1136, 1, FS, V
118.4, 1144, 1, FS, V
118.4, 1186, 1, IB, V
118.4, 1318, 1, RS, III
118.4, 1343, 1, RS, III
118.4, 1399, 1, RS, III
118.4, 1433, 1, RS, III
118.4, 1481, 1, FS, III
118.4, 3018, 3, FS, III
118.5, 374, 0, FS, V
118.5, 1133, 1, FS, V
118.5, 1137, 1, FS, V
118.5, 1138, 1, FS, V
118.5, 1178, 1, IB, V
118.5, 1354, 1, RS, III
118.5, 1369, 1, RS, III
118.5, 1384, 1, RS, III
118.5, 1405, 1, RS, III
118.5, 1431, 1, RS, III
118.5, 1436, 1, RS, III
118.5, 2254, 2, FS, III
118.5, 3004, 3, FS, III
118.5, 3028, 3, FS, III
118.6, 740, 0, FS, III
118.6, 1114, 1, FS, V
118.6, 1124, 1, FS, V
118.6, 1125, 1, FS, V
118.6, 1127, 1, FS, V
118.6, 1128, 1, FS, V
118.6, 1141, 1, FS, V
118.6, 1180, 1, IB, V
118.6, 1417, 1, RS, III
118.6, 2241, 2, FS, III
118.6, 3002, 3, FS, III
118.6, 3009, 3, FS, III
118.6, 3011, 3, FS, III
118.6, 3025, 3, FS, III
118.7, 351, 0, FS, V
118.7, 361, 0, FS, V
118.7, 1113, 1, FS, V
118.7, 1139, 1, FS, V
118.7, 1146, 1, FS, V
118.7, 1170, 1, IB, V
118.7, 1317, 1, RS, III
118.7, 1351, 1, RS, III
118.7, 1389, 1, RS, III
118.7, 1398, 1, RS, III
118.7, 1446, 1, RS, III
118.7, 2252, 2, FS, III
118.7, 2264, 2, FS, III
118.7, 2268, 2, FS, III
118.7, 3013, 3, FS, III
118.7, 3033, 3, FS, III
118.8, 381, 0, FS, V
118.8, 1112, 1, FS, V
118.8, 1182, 1, IB, V
118.8, 1319, 1, RS, III
118.8, 1394, 1, RS, III
118.8, 1404, 1, RS, III
118.8, 1443, 1, RS, III
118.8, 1473, 1, RS, III
118.8, 1874, 2, FS, V
118.8, 2245, 2, FS, III
118.8, 3014, 3, FS, III
118.9, 357, 0, FS, V
118.9, 358, 0, FS, V
118.9, 1167, 1, IB, V
118.9, 1177, 1, IB, V
118.9, 1183, 1, IB, V
118.9, 1310, 1, RS, III
118.9, 1311, 1, RS, III
118.9, 1321, 1, RS, III
118.9, 1347, 1, RS, III
118.9, 1442, 1, RS, III
118.9, 1447, 1, RS, III
118.9, 3015, 3, FS, III
118.9, 3023, 3, FS, III
119, 352, 0, FS, V
119, 355, 0, FS, V
119, 360, 0, FS, V
119, 363, 0, FS, V
119, 364, 0, FS, V
119, 376, 0, FS, V
119, 382, 0, FS, V
119, 1187, 1, IB, V
119, 1335, 1, RS, III
119, 1350, 1, RS, III
119, 1465, 1, RS, III
119, 1891, 2, FS, V
119, 2255, 2, FS, III
119, 3006, 3, FS, III
119.1, 349, 0, FS, V
119.1, 371, 0, FS, V
119.1, 377, 0, FS, V
119.1, 718, 0, FS, III
119.1, 1341, 1, RS, III
119.1, 1365, 1, RS, III
119.1, 1379, 1, RS, III
119.1, 1878, 2, FS, V
119.1, 1885, 2, FS, V
119.1, 3008, 3, FS, III
119.1, 3021, 3, FS, III
119.2, 356, 0, FS, V
119.2, 1168, 1, IB, V
119.2, 1174, 1, IB, V
119.2, 1175, 1, IB, V
119.2, 1179, 1, IB, V
119.2, 1181, 1, IB, V
119.2, 1189, 1, IB, V
119.2, 1313, 1, RS, III
119.2, 1346, 1, RS, III
119.2, 1364, 1, RS, III
119.2, 1432, 1, RS, III
119.2, 1877, 2, FS, V
119.2, 1887, 2, FS, V
119.2, 1897, 2, FS, V
