107.5, 1229, 1, RS, IV
107.6, 1125, 1, FS, V
107.6, 1275, 1, RS, IV
107.6, 1287, 1, FS, IV
107.6, 2027, 2, RS, IV
107.7, 1280, 1, FS, IV
107.8, 474, 0, RS, IV
108, 520, 0, FS, IV
108, 1286, 1, FS, IV
108, 1997, 2, RS, IV
108.1, 527, 0, FS, IV
108.1, 531, 0, FS, IV
108.1, 1143, 1, FS, V
108.2, 530, 0, FS, IV
108.2, 1279, 1, FS, IV
108.2, 1288, 1, FS, IV
108.2, 1304, 1, LTS, IV
108.2, 1956, 2, RS, IV
108.2, 2042, 2, FS, IV
108.3, 518, 0, FS, IV
108.3, 519, 0, FS, IV
108.3, 526, 0, FS, IV
108.3, 1293, 1, LTS, IV
108.3, 2050, 2, FS, IV
108.4, 681, 0, RS, III
108.4, 1281, 1, FS, IV
108.5, 529, 0, FS, IV
108.5, 1458, 1, RS, III
108.5, 2043, 2, FS, IV
108.5, 2049, 2, FS, IV
108.6, 523, 0, FS, IV
108.6, 1396, 1, RS, III
108.6, 1459, 1, RS, III
108.6, 2046, 2, FS, IV
108.6, 2047, 2, FS, IV
108.7, 517, 0, RS, IV
108.7, 521, 0, FS, IV
108.7, 524, 0, FS, IV
108.7, 528, 0, FS, IV
108.7, 1289, 1, FS, IV
108.7, 1290, 1, FS, IV
108.7, 1319, 1, RS, III
108.7, 1370, 1, RS, III
108.7, 1380, 1, RS, III
108.7, 2041, 2, FS, IV
108.7, 2048, 2, FS, IV
108.7, 2053, 2, FS, IV
108.8, 522, 0, FS, IV
108.8, 525, 0, FS, IV
108.8, 1296, 1, LTS, IV
108.8, 1322, 1, RS, III
108.8, 1333, 1, RS, III
108.8, 1371, 1, RS, III
108.8, 1387, 1, RS, III
108.8, 1388, 1, RS, III
108.8, 1430, 1, RS, III
108.8, 1457, 1, RS, III
108.8, 1486, 1, FS, III
108.8, 1502, 1, FS, III
108.9, 438, 0, RS, IV
108.9, 1135, 1, FS, V
108.9, 1282, 1, FS, IV
108.9, 1297, 1, LTS, IV
108.9, 1313, 1, RS, III
108.9, 1336, 1, RS, III
108.9, 1369, 1, RS, III
108.9, 1383, 1, RS, III
108.9, 1427, 1, RS, III
108.9, 1500, 1, FS, III
108.9, 2044, 2, FS, IV
109, 1321, 1, RS, III
109, 1325, 1, RS, III
109, 1366, 1, RS, III
109, 1385, 1, RS, III
109, 1447, 1, RS, III
109, 2040, 2, FS, IV
109, 2051, 2, FS, IV
109.1, 1039, 1, RS, V
109.1, 1134, 1, FS, V
109.1, 1283, 1, FS, IV
109.1, 1291, 1, FS, IV
109.1, 1302, 1, LTS, IV
109.1, 1305, 1, LTS, IV
109.1, 1309, 1, RS, III
