0,-0.40319,0,-0.2177,0,-0.38686
0.1,0,-3.00248,-13.46021,0,0
0.2,0,-2.4625,0,0,0
0.3,0,0,0,0,-5.8821
0.4,-17.75389,0,0,-3.04834,-13.98344
0.5,-4.87869,-1.59046,0,0,0
0.6,0,0,-4.29087,0,-12.06683
0.7,0,-6.61942,-1.00683,-3.73524,-2.12143
0.8,0,0,0,0,-24.77867
0.9,0,0,0,-0.46701,-14.22649
1,0,0,0,0,-24.12576
1.1,-12.66518,-19.86252,0,-3.22177,0
1.2,0,-11.61373,-19.82229,0,-13.83449
1.3,-2.78249,-1.36236,-16.9491,0,0
1.4,-14.18607,-10.29655,0,0,-22.32547
1.5,0,-27.71905,0,-11.63173,0
1.6,-8.41476,-1.65025,0,0,0
1.7,-30.58628,-4.29594,0,-2.34793,0
1.8,-20.3453,-13.18337,-23.91715,-20.93469,-20.59584
1.9,-9.45098,0,0,-12.9863,0
2,0,0,0,0,-8.04057
2.1,0,-10.48218,-1.17957,0,0
2.2,0,-25.92138,0,0,-0.24518
2.3,0,-22.72171,-24.97265,-18.56011,0
2.4,0,0,-27.68662,0,-16.21442
2.5,0,-13.84655,0,0,-16.60584
2.6,0,0,-18.23379,-11.97007,-19.62136
2.7,0,0,0,-6.07916,-21.86471
2.8,-4.11508,0,-15.36725,0,0
2.9,0,-25.81267,0,-9.94375,-4.05987
3,0,0,0,0,0
3.1,-3.53742,-2.57876,0,0,-24.99787
3.2,0,0,-0.27053,-11.89079,-4.77194
3.3,-14.92317,0,0,-6.76029,0
3.4,-13.82951,-8.96596,-12.91661,0,-6.13601
3.5,-1.35143,0,-1.76054,0,0
3.6,-8.11461,-4.84678,-3.3618,0,0
3.7,-1.72377,0,0,0,0
3.8,0,-12.41497,0,0,-7.43256
3.9,-26.87974,-7.7299,0,0,0
4,-18.62339,0,-19.06196,-0.19689,0
4.1,-14.41115,-17.4692,-8.66821,-0.87494,0
4.2,-28.66428,0,-23.55261,-8.81783,0
4.3,-24.31229,-6.34452,0,0,-0.52576
4.4,0,-14.4341,0,0,0
4.5,0,0,0,-16.78335,0
4.6,0,0,0,-14.78287,0
4.7,-5.84077,-23.70977,0,-0.12309,-35.42117
4.8,-1.6944,0,0,-7.42065,0
4.9,0,-2.55861,-20.94889,-0.18582,-27.16897
5,-27.08383,-0.43247,0,-21.00381,-4.90897
5.1,-7.24058,-27.69194,-0.08981,-32.157,-23.4357
5.2,-5.86938,-7.57292,-18.13963,-0.25771,0
5.3,0,-11.75024,-0.24331,-13.34359,-1.75351
5.4,-14.80634,-4.75223,-0.30863,-8.47759,0
5.5,0,-24.72023,-0.46008,-0.30919,0
5.6,-10.52173,-0.33734,-0.59622,-0.32277,-9.19782
5.7,0,-5.25417,-14.28034,-26.9556,0
5.8,-8.52163,-5.09072,-9.6735,-13.31655,-3.10381
5.9,-6.5915,-0.51059,-25.83906,-0.35504,-7.52529
6,-19.49815,-0.55679,-1.01486,-0.36341,-26.89536
6.1,-48.66464,-0.59812,-14.24016,-7.14965,-12.10643
6.2,-11.83353,-17.2407,-9.11778,-0.37722,0
6.3,-0.8019,-14.81869,-1.22721,-0.38285,0
6.4,-11.78042,-9.08778,-1.2833,-0.38773,0
6.5,-0.99493,-6.38487,-1.33318,-3.44084,0
6.6,-4.73381,-8.65466,-1.57776,-0.39556,-12.72652
6.7,-1.14961,-15.04131,-1.41666,-10.10958,0
6.8,-12.0578,-5.6251,-1.45129,-0.40119,0
6.9,-1.27291,-16.68414,-20.25732,-6.39237,0
7,-12.83402,-16.12454,-1.50853,-0.40503,-14.17662
7.1,-6.413,-0.82714,-15.13632,-0.40638,-4.87802
7.2,-24.13306,-0.92863,-35.28618,-0.40741,-0.19267
7.3,-1.44725,-1.01955,-20.41871,-8.85697,-0.27474
7.4,-3.30574,-1.10093,-1.5848,-8.34975,-2.29328
7.5,-1.50679,-1.17368,-1.59761,-20.61912,-0.41474
7.6,-6.83913,-1.23861,-1.95646,-8.41101,-10.10986
7.7,-3.78697,-1.74257,-11.17473,-0.40865,-0.61117
7.8,-1.84396,-24.27121,-23.6936,-0.40829,-12.735
7.9,-1.9475,-1.3937,-1.63035,-0.40777,-0.84464
8,-2.03979,-23.29338,-6.79399,-14.88844,-0.94366
8.1,-17.08547,-3.48591,-1.63799,-14.11047,-13.13567
8.2,-17.86561,-1.50151,-4.51815,-0.46888,-1.34528
8.3,-10.66778,-43.92085,-1.64122,-22.75643,-1.18266
8.4,-15.92307,-11.31634,-16.41177,-15.92944,-21.48974
8.5,-7.72982,-30.07258,-4.39947,-0.61965,-6.27943
8.6,-8.04087,-1.6791,-3.53668,-0.6595,-1.35252
8.7,-5.33059,-14.59025,-25.21029,-0.69496,-1.39704
8.8,-25.14325,-9.97566,-1.63513,-2.1552,-14.8187
8.9,-9.18984,-2.9825,-1.63208,-0.75436,-1.47126
9,-2.92854,-2.03818,-1.62856,-0.80029,-2.5828
9.1,-3.00546,-6.02546,-7.34408,-13.97472,-3.19041
9.2,-12.8911,-2.18226,-10.06272,-2.79638,-1.55224
9.3,-3.14532,-9.57794,-13.12317,-0.90961,-1.57263
9.4,-3.18423,-14.06577,-1.61068,-0.93804,-8.60778
9.5,-3.22917,-2.34165,-1.60545,-7.06121,-17.38172
9.6,-8.73452,-16.08461,-1.80026,-1.61727,-1.61818
9.7,-3.30118,-2.41804,-1.59429,-29.58619,-1.62897
9.8,-3.32937,-28.13929,-1.58841,-1.02109,-8.08532
9.9,-3.84489,-2.4756,-1.58237,-1.03559,-1.64518
10,-3.37258,-11.27639,-17.06017,-1.04807,-36.90446
10.1,-3.38845,-21.88097,-1.56985,-1.05871,-4.31674
10.2,-3.40098,-15.27253,-23.94083,-1.06769,-6.87855
10.3,-9.11227,-2.54745,-1.55688,-1.07518,-1.66062
10.4,-12.47188,-2.55832,-1.55025,-7.12243,-4.36462
10.5,-3.42169,-2.5669,-10.64809,-1.08625,-1.828
10.6,-8.96965,-2.5734,-1.62349,-29.09464,-1.89814
10.7,-8.99457,-6.06757,-15.51923,-1.13667,-1.96039
10.8,-3.42247,-14.10027,-1.75798,-6.3464,-2.0155
10.9,-12.86348,-15.05566,-22.14402,-18.5387,-2.06416
11,-16.61251,-2.73473,-1.86383,-1.6483,-30.62821
11.1,-30.94629,-2.81813,-18.24442,-1.20388,-2.25751
11.2,-12.75085,-2.89176,-12.40268,-20.01651,-9.94426
11.3,-22.78706,-13.38473,-1.98008,-1.22468,-21.28633
11.4,-6.5045,-3.01335,-2.00958,-17.7224,-2.47293
11.5,-9.42766,-3.06293,-2.03519,-1.239,-2.52851
11.6,-3.55709,-3.10599,-24.91738,-21.17297,-8.83037
11.7,-3.59742,-3.14315,-27.68097,-1.24805,-20.04798
11.8,-17.74684,-3.175,-2.09222,-1.25092,-4.53502
11.9,-3.66075,-27.66273,-3.26559,-26.9038,-2.68876
12,-3.74925,-10.96788,-2.11678,-1.25386,-14.20842
12.1,-18.27412,-10.95214,-4.37714,-17.15615,-6.26759
12.2,-4.88766,-3.5289,-2.13287,-2.31412,-3.11492
12.3,-6.02333,-20.1809,-13.29468,-6.85308,-17.1998
12.4,-14.25358,-5.5325,-2.18697,-1.25095,-3.59347
12.5,-13.09713,-3.69429,-2.30685,-26.47734,-3.795
12.6,-4.08397,-3.73498,-2.41369,-1.24619,-11.24107
12.7,-18.24775,-9.59313,-8.52074,-1.24317,-4.23556
12.8,-4.14031,-3.79875,-13.01014,-1.23978,-4.46844
12.9,-4.16096,-7.1686,-29.66753,-1.23607,-13.26039
13,-4.17725,-26.9686,-14.67911,-1.23206,-4.9004
13.1,-10.49985,-3.85839,-2.79203,-17.23831,-13.9178
13.2,-13.97178,-3.87047,-2.84305,-1.22329,-5.24138
13.3,-4.25919,-3.87927,-5.33733,-22.41325,-25.59963
13.4,-14.46695,-12.55045,-5.87288,-1.29441,-5.55077
13.5,-19.53728,-3.88833,-25.08043,-1.36185,-5.69904
13.6,-4.29997,-3.88913,-14.58008,-1.42173,-5.82974
13.7,-4.30641,-3.88779,-3.0132,-1.47475,-7.72389
13.8,-4.30985,-14.84842,-5.30002,-20.76126,-6.04504
13.9,-4.3106,-3.87949,-29.68247,-8.88206,-10.02823
14,-4.30892,-3.8729,-11.39173,-1.59901,-26.38167
14.1,-5.90968,-16.2881,-3.07603,-1.63063,-14.35598
14.2,-9.21456,-3.85567,-3.47219,-1.65813,-6.32922
14.3,-4.29166,-3.8453,-11.72597,-1.6819,-15.09132
14.4,-12.47342,-3.83393,-32.35917,-1.70231,-10.46599
