13.8, 1026, 1, LTS, VI
13.8, 2828, 3, LTS, IV
14, 265, 0, LTS, VI
14.7, 2538, 3, LTS, VI
15.2, 1023, 1, LTS, VI
16.1, 1306, 1, LTS, IV
17.4, 2067, 2, LTS, IV
17.8, 1161, 1, LTS, V
20.8, 1511, 1, LTS, III
21.6, 2533, 3, LTS, VI
28, 1011, 1, LTS, VI
28.1, 250, 0, LTS, VI
28.2, 1922, 2, LTS, V
28.3, 266, 0, LTS, VI
29.8, 3791, 4, LTS, III
31.3, 3443, 4, LTS, V
34.6, 1025, 1, LTS, VI
34.7, 2554, 3, LTS, VI
36.9, 1505, 1, LTS, III
38.2, 1019, 1, LTS, VI
40.2, 2680, 3, LTS, V
40.8, 3036, 3, LTS, III
41.8, 759, 0, LTS, III
42.8, 2545, 3, LTS, VI
44.2, 398, 0, LTS, V
45.7, 1772, 2, LTS, VI
46.1, 1298, 1, LTS, IV
49.2, 1302, 1, LTS, IV
49.8, 3441, 4, LTS, V
50.9, 3294, 4, LTS, VI
51.9, 255, 0, LTS, VI
52.5, 1786, 2, LTS, VI
54.2, 2548, 3, LTS, VI
56, 1789, 2, LTS, VI
59, 264, 0, LTS, VI
59.1, 3308, 4, LTS, VI
60.6, 3442, 4, LTS, V
61.4, 262, 0, LTS, VI
61.8, 1032, 1, LTS, VI
62.7, 3035, 3, LTS, III
64.8, 3305, 4, LTS, VI
68.9, 396, 0, LTS, V
71.4, 2061, 2, LTS, IV
73.4, 3304, 4, LTS, VI
76.6, 1924, 2, LTS, V
76.9, 397, 0, LTS, V
79.5, 1297, 1, LTS, IV
80.6, 1514, 1, LTS, III
82.4, 400, 0, LTS, V
82.4, 3445, 4, LTS, V
82.8, 1159, 1, LTS, V
83.8, 3306, 4, LTS, VI
91, 2685, 3, LTS, V
92.6, 2547, 3, LTS, VI
95.3, 3309, 4, LTS, VI
97.3, 1155, 1, LTS, V
98.2, 271, 0, LTS, VI
99.4, 402, 0, LTS, V
102.3, 3797, 4, LTS, III
102.8, 1787, 2, LTS, VI
103.6, 1262, 1, RS, IV
104, 1206, 1, RS, IV
104.2, 1221, 1, RS, IV
104.4, 1279, 1, RS, IV
104.5, 1202, 1, RS, IV
104.5, 1231, 1, RS, IV
104.6, 1196, 1, RS, IV
104.6, 1269, 1, RS, IV
104.7, 1199, 1, RS, IV
104.7, 1264, 1, RS, IV
104.8, 1198, 1, RS, IV
104.8, 1225, 1, RS, IV
104.8, 1232, 1, RS, IV
104.8, 1233, 1, RS, IV
104.8, 1294, 1, FS, IV
104.9, 1245, 1, RS, IV
105, 1016, 1, LTS, VI
105, 1217, 1, RS, IV
105, 1242, 1, RS, IV
105, 1267, 1, RS, IV
105.1, 1214, 1, RS, IV
105.1, 1218, 1, RS, IV
105.1, 1223, 1, RS, IV
105.1, 1258, 1, RS, IV
105.1, 1259, 1, RS, IV
105.1, 1277, 1, RS, IV
105.1, 1285, 1, FS, IV
105.2, 1216, 1, RS, IV
105.2, 1226, 1, RS, IV
105.2, 1243, 1, RS, IV
105.2, 1260, 1, RS, IV
105.2, 1784, 2, LTS, VI
105.3, 1195, 1, RS, IV
105.3, 1254, 1, RS, IV
105.3, 1255, 1, RS, IV
105.3, 1295, 1, FS, IV
105.4, 1274, 1, RS, IV
105.4, 1282, 1, RS, IV
105.4, 2323, 3, RS, VI
105.5, 1197, 1, RS, IV
105.5, 1219, 1, RS, IV
105.5, 1224, 1, RS, IV
105.5, 1263, 1, RS, IV
105.5, 1287, 1, FS, IV
105.5, 1292, 1, FS, IV
105.6, 1128, 1, FS, V
105.6, 1205, 1, RS, IV
105.6, 1249, 1, RS, IV
105.6, 1250, 1, RS, IV
105.6, 1257, 1, RS, IV
105.6, 1270, 1, RS, IV
105.6, 1783, 2, LTS, VI
105.7, 1146, 1, FS, V
105.7, 1203, 1, RS, IV
105.7, 1209, 1, RS, IV
105.7, 1213, 1, RS, IV
105.7, 1240, 1, RS, IV
105.8, 447, 0, RS, IV
105.8, 1125, 1, FS, V
105.8, 1234, 1, RS, IV
105.8, 1268, 1, RS, IV
105.8, 1281, 1, RS, IV
105.8, 1296, 1, FS, IV
105.9, 1140, 1, FS, V
105.9, 1210, 1, RS, IV
105.9, 1230, 1, RS, IV
105.9, 1261, 1, RS, IV
105.9, 1265, 1, RS, IV
105.9, 1275, 1, RS, IV
106, 1141, 1, FS, V
106, 1235, 1, RS, IV
106, 1238, 1, RS, IV
106, 1283, 1, FS, IV
106, 1289, 1, FS, IV
106.1, 1126, 1, FS, V
106.1, 1239, 1, RS, IV
106.1, 1247, 1, RS, IV
106.1, 1251, 1, RS, IV
106.1, 1272, 1, RS, IV
106.2, 467, 0, RS, IV
106.2, 1212, 1, RS, IV
106.2, 1220, 1, RS, IV
106.2, 1228, 1, RS, IV
106.2, 1246, 1, RS, IV
106.2, 1273, 1, RS, IV
106.2, 1290, 1, FS, IV
106.2, 1291, 1, FS, IV
106.3, 1200, 1, RS, IV
106.3, 1201, 1, RS, IV
106.3, 1229, 1, RS, IV
106.3, 1284, 1, FS, IV
106.3, 1968, 2, RS, IV
106.4, 519, 0, RS, IV
106.4, 1193, 1, RS, IV
106.4, 1237, 1, RS, IV
106.4, 1288, 1, FS, IV
106.5, 1139, 1, FS, V
106.5, 1194, 1, RS, IV
106.5, 1256, 1, RS, IV
