192.7, 1288, 1, FS, IV
195.9, 1984, 2, RS, IV
196.9, 1236, 1, RS, IV
201.9, 1240, 1, RS, IV
201.9, 1247, 1, RS, IV
201.9, 1255, 1, RS, IV
202, 1208, 1, RS, IV
202, 1215, 1, RS, IV
202, 1219, 1, RS, IV
202, 1227, 1, RS, IV
202, 1230, 1, RS, IV
202, 1231, 1, RS, IV
202, 1232, 1, RS, IV
202, 1239, 1, RS, IV
202, 1241, 1, RS, IV
202, 1260, 1, RS, IV
202, 1263, 1, RS, IV
202, 1264, 1, RS, IV
202, 1268, 1, RS, IV
202, 1274, 1, RS, IV
202, 1276, 1, RS, IV
202.1, 1195, 1, RS, IV
202.1, 1199, 1, RS, IV
202.1, 1209, 1, RS, IV
202.1, 1211, 1, RS, IV
202.1, 1217, 1, RS, IV
202.1, 1221, 1, RS, IV
202.1, 1223, 1, RS, IV
202.1, 1224, 1, RS, IV
202.1, 1225, 1, RS, IV
202.1, 1226, 1, RS, IV
202.1, 1233, 1, RS, IV
202.1, 1235, 1, RS, IV
202.1, 1237, 1, RS, IV
202.1, 1238, 1, RS, IV
202.1, 1249, 1, RS, IV
202.1, 1252, 1, RS, IV
202.1, 1256, 1, RS, IV
202.1, 1259, 1, RS, IV
202.1, 1269, 1, RS, IV
202.1, 1273, 1, RS, IV
202.2, 1202, 1, RS, IV
202.2, 1266, 1, RS, IV
203.3, 462, 0, RS, IV
203.8, 1290, 1, FS, IV
204.1, 1286, 1, FS, IV
204.1, 1289, 1, FS, IV
204.2, 1287, 1, FS, IV
204.3, 1284, 1, FS, IV
204.3, 1294, 1, FS, IV
204.5, 1278, 1, FS, IV
204.5, 1283, 1, FS, IV
204.5, 1288, 1, FS, IV
204.5, 1291, 1, FS, IV
204.5, 1293, 1, FS, IV
204.6, 1280, 1, FS, IV
204.6, 1295, 1, FS, IV
204.7, 1279, 1, FS, IV
204.7, 1281, 1, FS, IV
204.8, 1285, 1, FS, IV
204.8, 1292, 1, FS, IV
204.9, 1282, 1, FS, IV
204.9, 2043, 2, FS, IV
205, 1277, 1, FS, IV
205, 2004, 2, RS, IV
205.2, 516, 0, FS, IV
205.2, 521, 0, FS, IV
205.2, 531, 0, FS, IV
205.4, 533, 0, FS, IV
205.5, 523, 0, FS, IV
205.5, 526, 0, FS, IV
205.6, 519, 0, FS, IV
205.6, 2042, 2, FS, IV
205.7, 527, 0, FS, IV
205.8, 520, 0, FS, IV
205.8, 525, 0, FS, IV
205.8, 2781, 3, RS, IV
205.9, 532, 0, FS, IV
205.9, 2044, 2, FS, IV
206, 1304, 1, LTS, IV
206, 2054, 2, FS, IV
206.1, 524, 0, FS, IV
206.1, 2039, 2, FS, IV
206.1, 2053, 2, FS, IV
206.2, 528, 0, FS, IV
206.2, 530, 0, FS, IV
206.2, 2055, 2, FS, IV
206.2, 3491, 4, RS, IV
206.3, 518, 0, FS, IV
206.4, 2041, 2, FS, IV
206.5, 529, 0, FS, IV
206.5, 2052, 2, FS, IV
206.6, 534, 0, FS, IV
206.6, 1290, 1, FS, IV
206.6, 2038, 2, FS, IV
206.7, 517, 0, FS, IV
206.7, 1253, 1, RS, IV
206.7, 1297, 1, LTS, IV
206.8, 1286, 1, FS, IV
206.8, 1289, 1, FS, IV
206.8, 1301, 1, LTS, IV
207, 1287, 1, FS, IV
207, 2040, 2, FS, IV
207, 2048, 2, FS, IV
207, 2050, 2, FS, IV
207, 2051, 2, FS, IV
207, 2056, 2, FS, IV
207.1, 522, 0, FS, IV
207.2, 1288, 1, FS, IV
207.2, 1295, 1, FS, IV
207.2, 2045, 2, FS, IV
207.2, 2047, 2, FS, IV
207.3, 1283, 1, FS, IV
207.3, 1303, 1, LTS, IV
207.4, 1284, 1, FS, IV
207.4, 1291, 1, FS, IV
207.4, 1293, 1, FS, IV
207.4, 2046, 2, FS, IV
207.5, 1262, 1, RS, IV
207.5, 1278, 1, FS, IV
207.5, 1280, 1, FS, IV
207.5, 1294, 1, FS, IV
207.6, 1247, 1, RS, IV
207.6, 1279, 1, FS, IV
207.6, 1281, 1, FS, IV
207.7, 469, 0, RS, IV
207.7, 1240, 1, RS, IV
207.7, 1296, 1, LTS, IV
207.7, 1302, 1, LTS, IV
207.8, 1249, 1, RS, IV
207.8, 1256, 1, RS, IV
207.8, 1285, 1, FS, IV
207.8, 1292, 1, FS, IV
207.8, 2049, 2, FS, IV
207.9, 1195, 1, RS, IV
207.9, 1241, 1, RS, IV
207.9, 1255, 1, RS, IV
207.9, 1277, 1, FS, IV
208, 1223, 1, RS, IV
208, 1235, 1, RS, IV
208, 1238, 1, RS, IV
208, 1260, 1, RS, IV
208, 1268, 1, RS, IV
208, 1306, 1, LTS, IV
208.1, 516, 0, FS, IV
208.1, 1221, 1, RS, IV
208.1, 1226, 1, RS, IV
208.1, 1233, 1, RS, IV
208.1, 1264, 1, RS, IV
208.1, 1274, 1, RS, IV
208.1, 1282, 1, FS, IV
208.2, 531, 0, FS, IV
208.2, 1208, 1, RS, IV
208.2, 1209, 1, RS, IV
208.2, 1215, 1, RS, IV
208.2, 1225, 1, RS, IV
208.2, 1237, 1, RS, IV
208.2, 1298, 1, LTS, IV
208.2, 2811, 3, FS, IV
208.3, 482, 0, RS, IV
208.3, 526, 0, FS, IV
208.3, 1219, 1, RS, IV
208.3, 1275, 1, RS, IV
208.4, 521, 0, FS, IV
208.4, 1199, 1, RS, IV
208.4, 1232, 1, RS, IV
208.5, 1217, 1, RS, IV
208.5, 1231, 1, RS, IV
208.5, 1259, 1, RS, IV
208.5, 2042, 2, FS, IV
208.6, 1239, 1, RS, IV
208.6, 1252, 1, RS, IV
208.7, 1211, 1, RS, IV
