215.3, 1084, 1, RS, V
215.4, 1073, 1, RS, V
215.5, 1071, 1, RS, V
215.5, 1100, 1, RS, V
215.6, 1107, 1, RS, V
215.7, 1101, 1, RS, V
215.8, 1092, 1, RS, V
216, 1099, 1, RS, V
216.5, 1149, 1, LTS, V
216.7, 1141, 1, FS, V
216.8, 1116, 1, FS, V
217.1, 1053, 1, RS, V
217.8, 1809, 2, RS, V
218.2, 385, 0, FS, V
218.6, 1900, 2, FS, V
219.2, 1120, 1, FS, V
219.4, 2701, 3, IB, V
219.6, 1130, 1, FS, V
219.6, 1144, 1, FS, V
219.7, 1123, 1, FS, V
220, 1879, 2, FS, V
220.6, 1061, 1, RS, V
221.1, 1890, 2, FS, V
222, 1121, 1, FS, V
222.4, 2675, 3, LTS, V
222.7, 1930, 2, IB, V
223.4, 1892, 2, FS, V
223.5, 1907, 2, FS, V
223.6, 1888, 2, FS, V
223.9, 1117, 1, FS, V
224, 2619, 3, RS, V
224.1, 1897, 2, FS, V
224.4, 1942, 2, IB, V
224.4, 2709, 3, IB, V
224.5, 1884, 2, FS, V
224.8, 1189, 1, IB, V
225, 1127, 1, FS, V
225.1, 1145, 1, FS, V
225.1, 1881, 2, FS, V
225.3, 1165, 1, IB, V
226.4, 1923, 2, IB, V
226.5, 1889, 2, FS, V
226.6, 1146, 1, FS, V
227.7, 1142, 1, FS, V
229.1, 387, 0, LTS, V
229.2, 3443, 4, LTS, V
229.8, 2700, 3, IB, V
230.3, 1947, 2, IB, V
230.6, 3431, 4, LTS, V
231.7, 378, 0, FS, V
231.7, 1164, 1, IB, V
231.8, 1923, 2, IB, V
232.2, 333, 0, RS, V
234.2, 1169, 1, IB, V
235.7, 399, 0, LTS, V
235.8, 1177, 1, IB, V
235.9, 1186, 1, IB, V
236.5, 2602, 3, RS, V
237.1, 1850, 2, RS, V
238.1, 1941, 2, IB, V
238.3, 1812, 2, RS, V
238.4, 2687, 3, IB, V
238.8, 2579, 3, RS, V
239.6, 1191, 1, IB, V
240.1, 2617, 3, RS, V
240.7, 1817, 2, RS, V
240.9, 2578, 3, RS, V
242.9, 2597, 3, RS, V
243.3, 2558, 3, RS, V
243.3, 2674, 3, LTS, V
243.7, 1859, 2, RS, V
244, 1860, 2, RS, V
244.8, 1924, 2, IB, V
245, 1952, 2, IB, V
245.2, 1819, 2, RS, V
245.2, 2693, 3, IB, V
245.3, 1040, 1, RS, V
245.4, 3436, 4, LTS, V
246.2, 1093, 1, RS, V
246.3, 2689, 3, IB, V
246.7, 1171, 1, IB, V
246.7, 1192, 1, IB, V
247.5, 2590, 3, RS, V
247.7, 1806, 2, RS, V
247.7, 2594, 3, RS, V
247.7, 2596, 3, RS, V
248, 1950, 2, IB, V
248, 2697, 3, IB, V
248.3, 1190, 1, IB, V
248.7, 416, 0, IB, V
249, 330, 0, RS, V
249.4, 1861, 2, RS, V
249.5, 1928, 2, IB, V
249.6, 327, 0, RS, V
250, 2576, 3, RS, V
250.2, 1175, 1, IB, V
250.4, 2663, 3, FS, V
251, 1033, 1, RS, V
251.8, 3456, 4, IB, V
252.1, 1836, 2, RS, V
252.4, 1794, 2, RS, V
252.8, 1876, 2, RS, V
253.1, 2714, 3, IB, V
253.2, 2637, 3, RS, V
253.3, 1846, 2, RS, V
253.4, 1148, 1, LTS, V
253.4, 2667, 3, FS, V
253.7, 1840, 2, RS, V
253.7, 1951, 2, IB, V
253.7, 3336, 4, RS, V
253.9, 2625, 3, RS, V
254, 1066, 1, RS, V
254.1, 2686, 3, IB, V
254.2, 1887, 2, FS, V
254.2, 2583, 3, RS, V
254.2, 2657, 3, FS, V
254.3, 1864, 2, RS, V
254.5, 323, 0, RS, V
254.5, 2688, 3, IB, V
254.6, 3433, 4, LTS, V
254.8, 1173, 1, IB, V
254.8, 1848, 2, RS, V
254.8, 1922, 2, IB, V
254.9, 1868, 2, RS, V
255, 409, 0, IB, V
255, 3449, 4, IB, V
255.1, 3381, 4, RS, V
255.4, 1837, 2, RS, V
255.5, 1150, 1, LTS, V
255.5, 2655, 3, FS, V
255.9, 1948, 2, IB, V
256, 1123, 1, FS, V
256, 1953, 2, IB, V
256.2, 1038, 1, RS, V
256.3, 2607, 3, RS, V
256.5, 1841, 2, RS, V
256.6, 1873, 2, RS, V
256.6, 2677, 3, LTS, V
256.7, 1160, 1, LTS, V
256.7, 1905, 2, FS, V
256.8, 1080, 1, RS, V
256.8, 2588, 3, RS, V
256.9, 2710, 3, IB, V
257, 1111, 1, RS, V
257, 1180, 1, IB, V
257, 2611, 3, RS, V
257.1, 1077, 1, RS, V
257.2, 1839, 2, RS, V
257.2, 2614, 3, RS, V
257.3, 339, 0, RS, V
257.3, 2572, 3, RS, V
257.4, 1856, 2, RS, V
257.4, 2691, 3, IB, V
257.4, 2703, 3, IB, V
257.5, 2565, 3, RS, V
257.6, 2643, 3, FS, V
257.7, 1890, 2, FS, V
257.8, 1113, 1, RS, V
257.8, 1883, 2, FS, V
257.8, 3445, 4, IB, V
257.9, 303, 0, RS, V
257.9, 1074, 1, RS, V
257.9, 1862, 2, RS, V
257.9, 1903, 2, FS, V
258, 1810, 2, RS, V
258, 2672, 3, LTS, V
258.1, 1800, 2, RS, V
258.1, 1934, 2, IB, V
258.1, 2683, 3, IB, V
258.2, 1866, 2, RS, V
258.4, 1161, 1, IB, V
258.4, 1825, 2, RS, V
258.4, 2613, 3, RS, V
258.5, 1041, 1, RS, V
258.7, 392, 0, LTS, V
258.7, 1114, 1, RS, V
258.7, 1894, 2, FS, V
258.8, 2628, 3, RS, V
259, 1104, 1, RS, V
259.1, 2575, 3, RS, V
259.2, 1804, 2, RS, V
259.2, 1880, 2, FS, V
259.4, 2601, 3, RS, V
259.6, 2623, 3, RS, V
259.7, 291, 0, RS, V
259.7, 1159, 1, LTS, V
259.7, 1803, 2, RS, V
259.8, 2696, 3, IB, V
259.9, 2569, 3, RS, V
259.9, 2570, 3, RS, V
260, 1049, 1, RS, V
260, 1834, 2, RS, V
260.1, 335, 0, RS, V
260.1, 1904, 2, FS, V
260.2, 314, 0, RS, V
260.2, 1126, 1, FS, V
260.4, 1877, 2, FS, V
260.4, 1889, 2, FS, V
260.4, 3347, 4, RS, V
260.5, 1162, 1, IB, V
260.5, 1897, 2, FS, V
260.6, 1847, 2, RS, V
260.6, 1879, 2, FS, V
260.6, 2636, 3, RS, V
260.7, 1056, 1, RS, V
260.7, 1893, 2, FS, V
260.7, 1896, 2, FS, V
260.8, 1886, 2, FS, V
260.9, 1900, 2, FS, V
260.9, 1901, 2, FS, V
261, 1907, 2, FS, V
261, 1940, 2, IB, V
261.1, 1849, 2, RS, V
261.1, 1891, 2, FS, V
261.1, 2559, 3, RS, V
261.1, 2622, 3, RS, V
261.1, 2652, 3, FS, V
261.2, 1881, 2, FS, V
261.2, 1937, 2, IB, V
261.3, 1102, 1, RS, V
261.4, 408, 0, IB, V
261.4, 2640, 3, FS, V
261.4, 3363, 4, RS, V
261.5, 1178, 1, IB, V
261.5, 1829, 2, RS, V
261.5, 1932, 2, IB, V
261.7, 1059, 1, RS, V
261.7, 1122, 1, FS, V
261.7, 1820, 2, RS, V
261.7, 1878, 2, FS, V
261.7, 1946, 2, IB, V
261.7, 3320, 4, RS, V
261.8, 1146, 1, FS, V
261.8, 1184, 1, IB, V
261.8, 1895, 2, FS, V
261.9, 1892, 2, FS, V
261.9, 2633, 3, RS, V
262, 1089, 1, RS, V
262, 1875, 2, RS, V
262.1, 1050, 1, RS, V
262.1, 1815, 2, RS, V
262.2, 1798, 2, RS, V
262.2, 1801, 2, RS, V
262.3, 1919, 2, LTS, V
262.5, 2568, 3, RS, V
262.5, 2635, 3, RS, V
262.5, 2638, 3, FS, V
262.6, 2557, 3, RS, V
262.6, 2653, 3, FS, V
262.6, 3357, 4, RS, V
262.7, 1096, 1, RS, V
262.7, 1799, 2, RS, V
262.8, 1888, 2, FS, V
262.8, 3328, 4, RS, V
262.9, 1136, 1, FS, V
262.9, 2624, 3, RS, V
262.9, 2699, 3, IB, V
262.9, 3459, 4, IB, V
263, 1116, 1, FS, V
263, 1890, 2, FS, V
263, 1906, 2, FS, V
263, 2561, 3, RS, V
263, 2656, 3, FS, V
263.1, 285, 0, RS, V
263.1, 1115, 1, RS, V
263.1, 1172, 1, IB, V
263.1, 1931, 2, IB, V
263.1, 2556, 3, RS, V
263.1, 2644, 3, FS, V
263.1, 3362, 4, RS, V
263.2, 1065, 1, RS, V
263.2, 1086, 1, RS, V
263.2, 1887, 2, FS, V
263.2, 2618, 3, RS, V
263.2, 2673, 3, LTS, V
263.3, 1044, 1, RS, V
263.3, 1816, 2, RS, V
263.3, 1844, 2, RS, V
263.3, 1854, 2, RS, V
263.5, 1156, 1, LTS, V
263.5, 1851, 2, RS, V
263.5, 2593, 3, RS, V
263.5, 2684, 3, IB, V
263.6, 1034, 1, RS, V
263.6, 3446, 4, IB, V
263.7, 1130, 1, FS, V
263.7, 3398, 4, RS, V
263.8, 1183, 1, IB, V
263.8, 2668, 3, FS, V
263.8, 2702, 3, IB, V
263.8, 3421, 4, FS, V
263.9, 1882, 2, FS, V
263.9, 2582, 3, RS, V
264, 1124, 1, FS, V
264, 1131, 1, FS, V
264, 1831, 2, RS, V
264, 1867, 2, RS, V
264, 1898, 2, FS, V
264, 3437, 4, LTS, V
264.1, 273, 0, RS, V
264.1, 313, 0, RS, V
264.1, 2658, 3, FS, V
264.2, 1168, 1, IB, V
264.2, 1843, 2, RS, V
264.3, 401, 0, IB, V
264.3, 1899, 2, FS, V
264.3, 2600, 3, RS, V
264.3, 2665, 3, FS, V
264.4, 372, 0, FS, V
264.4, 1035, 1, RS, V
264.4, 1055, 1, RS, V
264.4, 1162, 1, IB, V
264.4, 1835, 2, RS, V
264.5, 1145, 1, FS, V
264.5, 1916, 2, LTS, V
264.5, 1943, 2, IB, V
264.6, 1182, 1, IB, V
264.6, 1903, 2, FS, V
264.6, 2659, 3, FS, V
264.6, 2664, 3, FS, V
264.6, 2669, 3, LTS, V
264.6, 3375, 4, RS, V
264.7, 1047, 1, RS, V
264.7, 1133, 1, FS, V
264.7, 2567, 3, RS, V
264.7, 2595, 3, RS, V
264.7, 2655, 3, FS, V
264.8, 287, 0, RS, V
264.8, 1828, 2, RS, V
264.9, 1869, 2, RS, V
265, 348, 0, RS, V
265, 1143, 1, FS, V
265, 1147, 1, LTS, V
265, 1921, 2, LTS, V
265, 2642, 3, FS, V
265.1, 1079, 1, RS, V
265.1, 1141, 1, FS, V
265.1, 1142, 1, FS, V
265.1, 2605, 3, RS, V
265.2, 1042, 1, RS, V
265.2, 1083, 1, RS, V
265.2, 1119, 1, FS, V
265.2, 1902, 2, FS, V
265.2, 2663, 3, FS, V
265.3, 1128, 1, FS, V
265.3, 2643, 3, FS, V
265.3, 2645, 3, FS, V
265.4, 1889, 2, FS, V
265.4, 2646, 3, FS, V
265.4, 3404, 4, FS, V
265.4, 3418, 4, FS, V
265.5, 1135, 1, FS, V
265.5, 1167, 1, IB, V
265.5, 1823, 2, RS, V
265.5, 2707, 3, IB, V
265.5, 3332, 4, RS, V
265.5, 3474, 4, IB, V
265.6, 1939, 2, IB, V
265.7, 350, 0, RS, V
265.7, 1118, 1, FS, V
265.7, 1120, 1, FS, V
265.7, 1170, 1, IB, V
265.7, 1881, 2, FS, V
265.7, 2612, 3, RS, V
265.8, 1822, 2, RS, V
265.8, 1852, 2, RS, V
265.8, 2651, 3, FS, V
265.9, 1125, 1, FS, V
265.9, 2661, 3, FS, V
265.9, 3414, 4, FS, V
266, 1144, 1, FS, V
266, 1187, 1, IB, V
266, 2690, 3, IB, V
266.1, 368, 0, FS, V
266.1, 3473, 4, IB, V
266.2, 1057, 1, RS, V
266.2, 1821, 2, RS, V
266.3, 1121, 1, FS, V
266.3, 2641, 3, FS, V
266.3, 2648, 3, FS, V
266.4, 363, 0, FS, V
266.4, 1926, 2, IB, V
266.4, 3452, 4, IB, V
266.5, 1048, 1, RS, V
266.5, 2670, 3, LTS, V
266.6, 1174, 1, IB, V
266.6, 1805, 2, RS, V
266.6, 2604, 3, RS, V
266.6, 2711, 3, IB, V
266.7, 1134, 1, FS, V
266.7, 1158, 1, LTS, V
266.7, 1886, 2, FS, V
266.7, 2599, 3, RS, V
266.8, 359, 0, FS, V
266.8, 1140, 1, FS, V
266.8, 1845, 2, RS, V
266.8, 2698, 3, IB, V
266.9, 376, 0, FS, V
266.9, 403, 0, IB, V
266.9, 1900, 2, FS, V
266.9, 2657, 3, FS, V
266.9, 2662, 3, FS, V
266.9, 3326, 4, RS, V
267, 1164, 1, IB, V
