6.3, 218, 0, RS, VI
6.3, 219, 0, RS, VI
6.3, 220, 0, RS, VI
6.3, 221, 0, RS, VI
6.3, 223, 0, RS, VI
6.3, 224, 0, RS, VI
6.3, 226, 0, RS, VI
6.3, 228, 0, RS, VI
6.3, 229, 0, RS, VI
6.3, 230, 0, RS, VI
6.3, 231, 0, RS, VI
6.3, 233, 0, RS, VI
6.3, 234, 0, RS, VI
6.3, 235, 0, RS, VI
6.3, 274, 0, RS, V
6.3, 280, 0, RS, V
6.3, 308, 0, RS, V
6.3, 545, 0, LTS, IV
6.3, 579, 0, RS, III
6.3, 682, 0, RS, III
6.3, 687, 0, RS, III
6.3, 696, 0, RS, III
6.3, 761, 1, RS, VI
6.3, 763, 1, RS, VI
6.3, 764, 1, RS, VI
6.3, 765, 1, RS, VI
6.3, 767, 1, RS, VI
6.3, 770, 1, RS, VI
6.3, 772, 1, RS, VI
6.3, 773, 1, RS, VI
6.3, 775, 1, RS, VI
6.3, 776, 1, RS, VI
6.3, 777, 1, RS, VI
6.3, 778, 1, RS, VI
6.3, 779, 1, RS, VI
6.3, 780, 1, RS, VI
6.3, 782, 1, RS, VI
6.3, 783, 1, RS, VI
6.3, 784, 1, RS, VI
6.3, 785, 1, RS, VI
6.3, 786, 1, RS, VI
6.3, 787, 1, RS, VI
6.3, 788, 1, RS, VI
6.3, 789, 1, RS, VI
6.3, 791, 1, RS, VI
6.3, 793, 1, RS, VI
6.3, 795, 1, RS, VI
6.3, 796, 1, RS, VI
6.3, 798, 1, RS, VI
6.3, 799, 1, RS, VI
6.3, 800, 1, RS, VI
6.3, 801, 1, RS, VI
6.3, 802, 1, RS, VI
6.3, 803, 1, RS, VI
6.3, 804, 1, RS, VI
6.3, 805, 1, RS, VI
6.3, 806, 1, RS, VI
6.3, 808, 1, RS, VI
6.3, 810, 1, RS, VI
6.3, 811, 1, RS, VI
6.3, 812, 1, RS, VI
6.3, 813, 1, RS, VI
6.3, 814, 1, RS, VI
6.3, 816, 1, RS, VI
6.3, 818, 1, RS, VI
6.3, 819, 1, RS, VI
6.3, 820, 1, RS, VI
6.3, 822, 1, RS, VI
6.3, 823, 1, RS, VI
6.3, 825, 1, RS, VI
6.3, 826, 1, RS, VI
6.3, 827, 1, RS, VI
6.3, 829, 1, RS, VI
6.3, 830, 1, RS, VI
6.3, 831, 1, RS, VI
6.3, 833, 1, RS, VI
6.3, 834, 1, RS, VI
6.3, 835, 1, RS, VI
6.3, 836, 1, RS, VI
6.3, 837, 1, RS, VI
6.3, 839, 1, RS, VI
6.3, 840, 1, RS, VI
6.3, 841, 1, RS, VI
6.3, 843, 1, RS, VI
6.3, 844, 1, RS, VI
6.3, 845, 1, RS, VI
6.3, 846, 1, RS, VI
6.3, 848, 1, RS, VI
6.3, 849, 1, RS, VI
6.3, 850, 1, RS, VI
6.3, 852, 1, RS, VI
6.3, 853, 1, RS, VI
6.3, 855, 1, RS, VI
6.3, 857, 1, RS, VI
6.3, 858, 1, RS, VI
6.3, 863, 1, RS, VI
6.3, 864, 1, RS, VI
6.3, 865, 1, RS, VI
6.3, 869, 1, RS, VI
6.3, 870, 1, RS, VI
6.3, 871, 1, RS, VI
6.3, 872, 1, RS, VI
6.3, 873, 1, RS, VI
6.3, 876, 1, RS, VI
6.3, 880, 1, RS, VI
6.3, 883, 1, RS, VI
6.3, 885, 1, RS, VI
6.3, 886, 1, RS, VI
6.3, 887, 1, RS, VI
6.3, 888, 1, RS, VI
6.3, 889, 1, RS, VI
6.3, 890, 1, RS, VI
6.3, 891, 1, RS, VI
6.3, 893, 1, RS, VI
6.3, 894, 1, RS, VI
6.3, 897, 1, RS, VI
6.3, 898, 1, RS, VI
6.3, 900, 1, RS, VI
6.3, 903, 1, RS, VI
6.3, 904, 1, RS, VI
6.3, 905, 1, RS, VI
6.3, 906, 1, RS, VI
6.3, 907, 1, RS, VI
6.3, 908, 1, RS, VI
6.3, 910, 1, RS, VI
6.3, 913, 1, RS, VI
6.3, 914, 1, RS, VI
6.3, 915, 1, RS, VI
6.3, 917, 1, RS, VI
6.3, 918, 1, RS, VI
6.3, 919, 1, RS, VI
6.3, 920, 1, RS, VI
6.3, 921, 1, RS, VI
6.3, 922, 1, RS, VI
6.3, 923, 1, RS, VI
6.3, 924, 1, RS, VI
6.3, 926, 1, RS, VI
6.3, 928, 1, RS, VI
6.3, 929, 1, RS, VI
6.3, 930, 1, RS, VI
6.3, 931, 1, RS, VI
6.3, 932, 1, RS, VI
6.3, 934, 1, RS, VI
6.3, 935, 1, RS, VI
6.3, 936, 1, RS, VI
6.3, 937, 1, RS, VI
6.3, 938, 1, RS, VI
6.3, 939, 1, RS, VI
6.3, 940, 1, RS, VI
6.3, 941, 1, RS, VI
6.3, 942, 1, RS, VI
6.3, 945, 1, RS, VI
6.3, 946, 1, RS, VI
6.3, 948, 1, RS, VI
6.3, 950, 1, RS, VI
6.3, 953, 1, RS, VI
6.3, 954, 1, RS, VI
6.3, 956, 1, RS, VI
6.3, 958, 1, RS, VI
6.3, 959, 1, RS, VI
6.3, 960, 1, RS, VI
6.3, 961, 1, RS, VI
6.3, 965, 1, RS, VI
6.3, 966, 1, RS, VI
6.3, 967, 1, RS, VI
6.3, 969, 1, RS, VI
6.3, 970, 1, RS, VI
6.3, 971, 1, RS, VI
6.3, 972, 1, RS, VI
6.3, 974, 1, RS, VI
6.3, 975, 1, RS, VI
6.3, 976, 1, RS, VI
6.3, 978, 1, RS, VI
6.3, 979, 1, RS, VI
6.3, 981, 1, RS, VI
6.3, 982, 1, RS, VI
6.3, 983, 1, RS, VI
6.3, 984, 1, RS, VI
6.3, 986, 1, RS, VI
6.3, 987, 1, RS, VI
6.3, 988, 1, RS, VI
6.3, 989, 1, RS, VI
6.3, 991, 1, RS, VI
6.3, 992, 1, RS, VI
6.3, 993, 1, RS, VI
6.3, 994, 1, RS, VI
6.3, 995, 1, RS, VI
6.3, 1034, 1, RS, V
6.3, 1038, 1, RS, V
6.3, 1045, 1, RS, V
6.3, 1049, 1, RS, V
6.3, 1102, 1, RS, V
6.3, 1312, 1, RS, III
6.3, 1323, 1, RS, III
6.3, 1370, 1, RS, III
6.3, 1399, 1, RS, III
6.3, 1491, 1, FS, III
6.3, 1522, 2, RS, VI
6.3, 1523, 2, RS, VI
6.3, 1524, 2, RS, VI
6.3, 1525, 2, RS, VI
6.3, 1526, 2, RS, VI
6.3, 1527, 2, RS, VI
6.3, 1528, 2, RS, VI
6.3, 1530, 2, RS, VI
6.3, 1533, 2, RS, VI
6.3, 1534, 2, RS, VI
6.3, 1537, 2, RS, VI
6.3, 1543, 2, RS, VI
6.3, 1544, 2, RS, VI
6.3, 1545, 2, RS, VI
6.3, 1546, 2, RS, VI
6.3, 1547, 2, RS, VI
6.3, 1548, 2, RS, VI
6.3, 1549, 2, RS, VI
6.3, 1550, 2, RS, VI
6.3, 1552, 2, RS, VI
6.3, 1554, 2, RS, VI
6.3, 1555, 2, RS, VI
6.3, 1557, 2, RS, VI
6.3, 1562, 2, RS, VI
6.3, 1563, 2, RS, VI
6.3, 1565, 2, RS, VI
6.3, 1566, 2, RS, VI
6.3, 1567, 2, RS, VI
6.3, 1568, 2, RS, VI
6.3, 1569, 2, RS, VI
6.3, 1571, 2, RS, VI
6.3, 1572, 2, RS, VI
6.3, 1573, 2, RS, VI
6.3, 1574, 2, RS, VI
6.3, 1575, 2, RS, VI
6.3, 1578, 2, RS, VI
6.3, 1579, 2, RS, VI
6.3, 1580, 2, RS, VI
6.3, 1581, 2, RS, VI
6.3, 1582, 2, RS, VI
6.3, 1583, 2, RS, VI
6.3, 1586, 2, RS, VI
6.3, 1588, 2, RS, VI
6.3, 1589, 2, RS, VI
6.3, 1591, 2, RS, VI
6.3, 1593, 2, RS, VI
6.3, 1596, 2, RS, VI
