113.9, 448, 0, RS, IV
114, 632, 0, RS, III
114.1, 524, 0, FS, IV
114.2, 714, 0, RS, III
114.5, 437, 0, RS, IV
114.6, 479, 0, RS, IV
114.6, 523, 0, FS, IV
114.6, 526, 0, FS, IV
114.6, 621, 0, RS, III
114.8, 542, 0, LTS, IV
114.8, 545, 0, LTS, IV
115.1, 521, 0, FS, IV
115.1, 681, 0, RS, III
115.2, 505, 0, RS, IV
115.4, 532, 0, LTS, IV
115.5, 480, 0, RS, IV
115.5, 519, 0, FS, IV
115.5, 536, 0, LTS, IV
115.6, 527, 0, FS, IV
115.6, 573, 0, RS, III
115.8, 626, 0, RS, III
115.8, 690, 0, RS, III
115.9, 590, 0, RS, III
115.9, 3301, 4, LTS, VI
116, 563, 0, RS, III
116.1, 713, 0, RS, III
116.2, 534, 0, LTS, IV
116.2, 537, 0, LTS, IV
116.2, 577, 0, RS, III
116.2, 662, 0, RS, III
116.3, 506, 0, RS, IV
116.3, 525, 0, FS, IV
116.3, 548, 0, RS, III
116.4, 512, 0, RS, IV
116.5, 406, 0, IB, V
116.5, 549, 0, RS, III
116.6, 540, 0, LTS, IV
116.6, 575, 0, RS, III
116.9, 585, 0, RS, III
116.9, 664, 0, RS, III
117, 637, 0, RS, III
117.1, 668, 0, RS, III
117.2, 674, 0, RS, III
117.3, 520, 0, FS, IV
117.3, 582, 0, RS, III
117.3, 696, 0, RS, III
117.4, 538, 0, LTS, IV
117.5, 638, 0, RS, III
117.5, 647, 0, RS, III
117.5, 693, 0, RS, III
117.6, 530, 0, FS, IV
117.7, 528, 0, FS, IV
117.8, 580, 0, RS, III
117.9, 603, 0, RS, III
118, 547, 0, RS, III
118, 596, 0, RS, III
118, 684, 0, RS, III
118.1, 583, 0, RS, III
118.2, 650, 0, RS, III
118.2, 694, 0, RS, III
118.3, 634, 0, RS, III
118.3, 667, 0, RS, III
118.3, 669, 0, RS, III
118.4, 574, 0, RS, III
118.6, 658, 0, RS, III
118.7, 498, 0, RS, IV
118.7, 672, 0, RS, III
118.8, 629, 0, RS, III
118.8, 630, 0, RS, III
118.9, 579, 0, RS, III
118.9, 665, 0, RS, III
119, 521, 0, FS, IV
119, 678, 0, RS, III
119, 692, 0, RS, III
119.1, 635, 0, RS, III
119.1, 654, 0, RS, III
119.2, 586, 0, RS, III
119.2, 657, 0, RS, III
119.3, 464, 0, RS, IV
119.3, 572, 0, RS, III
119.4, 556, 0, RS, III
119.4, 677, 0, RS, III
119.5, 531, 0, FS, IV
119.5, 589, 0, RS, III
119.6, 608, 0, RS, III
119.6, 656, 0, RS, III
119.7, 597, 0, RS, III
119.7, 671, 0, RS, III
119.7, 682, 0, RS, III
119.8, 541, 0, LTS, IV
119.9, 568, 0, RS, III
120, 535, 0, LTS, IV
120.1, 595, 0, RS, III
120.1, 655, 0, RS, III
120.2, 423, 0, IB, V
120.4, 604, 0, RS, III
120.4, 659, 0, RS, III
120.5, 522, 0, FS, IV
120.5, 581, 0, RS, III
120.6, 687, 0, RS, III
120.7, 729, 0, FS, III
120.8, 529, 0, FS, IV
120.8, 624, 0, RS, III
120.9, 566, 0, RS, III
120.9, 606, 0, RS, III
120.9, 705, 0, RS, III
121, 519, 0, FS, IV
121, 663, 0, RS, III
121, 666, 0, RS, III
121.1, 299, 0, RS, V
121.1, 426, 0, IB, V
121.1, 649, 0, RS, III
121.1, 706, 0, RS, III
121.2, 303, 0, RS, V
121.2, 552, 0, RS, III
121.2, 594, 0, RS, III
121.2, 602, 0, RS, III
121.2, 631, 0, RS, III
121.2, 709, 0, RS, III
121.3, 607, 0, RS, III
121.3, 610, 0, RS, III
121.3, 652, 0, RS, III
121.3, 739, 0, FS, III
121.4, 314, 0, RS, V
121.4, 550, 0, RS, III
