314, 1407, 1, RS, III
314, 1426, 1, RS, III
314.1, 577, 0, RS, III
314.1, 732, 0, FS, III
314.1, 1322, 1, RS, III
314.1, 1329, 1, RS, III
314.1, 1433, 1, RS, III
314.2, 1345, 1, RS, III
314.2, 1425, 1, RS, III
314.2, 1469, 1, RS, III
314.2, 1471, 1, RS, III
314.2, 2162, 2, RS, III
314.3, 740, 0, FS, III
314.3, 1385, 1, RS, III
314.3, 1391, 1, RS, III
314.3, 1423, 1, RS, III
314.3, 1432, 1, RS, III
314.3, 2256, 2, FS, III
314.4, 737, 0, FS, III
314.4, 1393, 1, RS, III
314.5, 1368, 1, RS, III
314.5, 1463, 1, RS, III
314.6, 728, 0, FS, III
314.6, 738, 0, FS, III
314.7, 1320, 1, RS, III
314.8, 1470, 1, RS, III
314.9, 632, 0, RS, III
314.9, 1332, 1, RS, III
314.9, 1340, 1, RS, III
314.9, 1371, 1, RS, III
314.9, 1413, 1, RS, III
314.9, 1439, 1, RS, III
314.9, 1464, 1, RS, III
315, 1316, 1, RS, III
315.1, 628, 0, RS, III
315.1, 1308, 1, RS, III
315.1, 1317, 1, RS, III
315.1, 1347, 1, RS, III
315.1, 1354, 1, RS, III
315.1, 1443, 1, RS, III
315.1, 1459, 1, RS, III
315.1, 1472, 1, RS, III
315.1, 1487, 1, FS, III
315.3, 1319, 1, RS, III
315.3, 1360, 1, RS, III
315.3, 1412, 1, RS, III
315.4, 716, 0, FS, III
315.4, 727, 0, FS, III
315.4, 1396, 1, RS, III
315.5, 1465, 1, RS, III
315.6, 723, 0, FS, III
315.6, 1348, 1, RS, III
315.6, 1376, 1, RS, III
315.6, 1455, 1, RS, III
315.6, 1494, 1, FS, III
315.7, 3013, 3, FS, III
315.8, 675, 0, RS, III
315.8, 2096, 2, RS, III
315.9, 725, 0, FS, III
315.9, 1312, 1, RS, III
315.9, 1325, 1, RS, III
315.9, 1379, 1, RS, III
315.9, 2087, 2, RS, III
315.9, 2253, 2, FS, III
316.1, 657, 0, RS, III
316.1, 1328, 1, RS, III
316.2, 730, 0, FS, III
316.2, 2107, 2, RS, III
316.3, 641, 0, RS, III
316.3, 1483, 1, FS, III
316.4, 669, 0, RS, III
316.4, 1468, 1, RS, III
316.6, 1417, 1, RS, III
316.7, 724, 0, FS, III
316.7, 1493, 1, FS, III
316.8, 1442, 1, RS, III
316.9, 719, 0, FS, III
316.9, 1457, 1, RS, III
317, 733, 0, FS, III
317, 1351, 1, RS, III
317, 1381, 1, RS, III
317, 2240, 2, FS, III
317.1, 1336, 1, RS, III
317.1, 1422, 1, RS, III
317.2, 598, 0, RS, III
317.2, 1362, 1, RS, III
317.3, 1501, 1, FS, III
317.4, 670, 0, RS, III
317.4, 1399, 1, RS, III
317.4, 1411, 1, RS, III
317.4, 1429, 1, RS, III
317.5, 721, 0, FS, III
317.5, 1375, 1, RS, III
317.5, 1388, 1, RS, III
317.6, 551, 0, RS, III
317.6, 2166, 2, RS, III
317.6, 2239, 2, FS, III
317.8, 1346, 1, RS, III
317.8, 1430, 1, RS, III
317.8, 2250, 2, FS, III
317.9, 607, 0, RS, III
317.9, 1374, 1, RS, III
318.1, 3005, 3, FS, III
318.2, 726, 0, FS, III
318.2, 2221, 2, RS, III
318.3, 2089, 2, RS, III
318.4, 1400, 1, RS, III
318.5, 2133, 2, RS, III
318.6, 1404, 1, RS, III
318.6, 2245, 2, FS, III
318.6, 2251, 2, FS, III
318.7, 708, 0, RS, III
318.7, 1482, 1, FS, III
318.7, 2090, 2, RS, III
318.7, 2114, 2, RS, III
318.7, 3007, 3, FS, III
318.8, 718, 0, FS, III
318.8, 1330, 1, RS, III
318.8, 1486, 1, FS, III
318.8, 2248, 2, FS, III
318.9, 739, 0, FS, III
318.9, 1357, 1, RS, III
318.9, 1421, 1, RS, III
318.9, 2249, 2, FS, III
319, 1487, 1, FS, III
319, 2255, 2, FS, III
319, 3023, 3, FS, III
319.2, 1408, 1, RS, III
319.2, 1415, 1, RS, III
319.2, 1484, 1, FS, III
319.3, 1327, 1, RS, III
319.3, 1492, 1, FS, III
319.3, 1495, 1, FS, III
319.3, 2113, 2, RS, III
319.3, 2142, 2, RS, III
319.4, 1352, 1, RS, III
319.5, 593, 0, RS, III
319.5, 1389, 1, RS, III
319.5, 1416, 1, RS, III
319.5, 1458, 1, RS, III
319.6, 3017, 3, FS, III
319.7, 571, 0, RS, III
319.7, 717, 0, FS, III
319.7, 1350, 1, RS, III
319.7, 2259, 2, FS, III
319.8, 698, 0, RS, III
319.8, 2177, 2, RS, III
319.8, 2238, 2, FS, III
319.8, 2254, 2, FS, III
319.8, 3003, 3, FS, III
319.9, 3011, 3, FS, III
320, 1476, 1, FS, III
320, 3004, 3, FS, III
320.1, 1498, 1, FS, III
320.1, 2260, 2, FS, III
320.2, 1496, 1, FS, III
320.3, 1423, 1, RS, III
320.4, 1489, 1, FS, III
320.4, 2154, 2, RS, III
320.5, 1397, 1, RS, III
320.5, 2158, 2, RS, III
320.6, 3012, 3, FS, III
320.7, 1365, 1, RS, III
320.8, 1382, 1, RS, III
320.8, 1493, 1, FS, III
320.9, 1323, 1, RS, III
320.9, 2262, 2, FS, III
321, 1488, 1, FS, III
321, 1499, 1, FS, III
321, 3014, 3, FS, III
321, 3020, 3, FS, III
321.2, 735, 0, FS, III
321.3, 1497, 1, FS, III
321.5, 1451, 1, RS, III
321.7, 1438, 1, RS, III
321.9, 572, 0, RS, III
322.1, 1500, 1, FS, III
322.1, 2218, 2, RS, III
322.3, 1386, 1, RS, III
322.3, 3006, 3, FS, III
322.4, 1480, 1, FS, III
322.5, 2157, 2, RS, III
322.5, 2998, 3, FS, III
322.6, 1392, 1, RS, III
322.6, 1491, 1, FS, III
322.8, 546, 0, RS, III
323.2, 2241, 2, FS, III
323.2, 3019, 3, FS, III
323.3, 1372, 1, RS, III
323.8, 1494, 1, FS, III
324, 1394, 1, RS, III
324.2, 1337, 1, RS, III
324.5, 2116, 2, RS, III
325.1, 705, 0, RS, III
325.1, 2895, 3, RS, III
325.3, 1495, 1, FS, III
325.4, 733, 0, FS, III
325.8, 1334, 1, RS, III
326.2, 1450, 1, RS, III
327.1, 2256, 2, FS, III
356.4, 2268, 2, LTS, III
356.5, 3040, 3, LTS, III
358.7, 2282, 2, LTS, III
360.4, 745, 0, LTS, III
361.5, 746, 0, LTS, III
361.8, 1510, 1, LTS, III
362.8, 759, 0, LTS, III
364.3, 1506, 1, LTS, III
364.6, 3027, 3, LTS, III
365.7, 3042, 3, LTS, III
367.2, 744, 0, LTS, III
367.9, 1511, 1, LTS, III
370.3, 749, 0, LTS, III
370.4, 755, 0, LTS, III
370.4, 3029, 3, LTS, III
372.1, 760, 0, LTS, III
375.5, 2281, 2, LTS, III
377.3, 3033, 3, LTS, III
378, 3803, 4, LTS, III
381, 3788, 4, LTS, III
385.5, 2280, 2, LTS, III
386.2, 742, 0, LTS, III
401.5, 3716, 4, RS, III
402.7, 2266, 2, LTS, III
412.9, 2271, 2, LTS, III
416.3, 1505, 1, LTS, III
417, 2267, 2, LTS, III
426.7, 3032, 3, LTS, III
442.5, 3789, 4, LTS, III
446.4, 2091, 2, RS, III
453, 1520, 1, LTS, III
462.9, 3804, 4, LTS, III
466.9, 2268, 2, LTS, III
468.8, 1521, 1, LTS, III
478.6, 760, 0, LTS, III
483.6, 1507, 1, LTS, III
486.8, 3027, 3, LTS, III
488.9, 1510, 1, LTS, III
497.4, 758, 0, LTS, III
507.1, 749, 0, LTS, III
508.7, 1509, 1, LTS, III
514.6, 750, 0, LTS, III
519.7, 759, 0, LTS, III
531.7, 1518, 1, LTS, III
536.4, 746, 0, LTS, III
537.3, 3790, 4, LTS, III
549.5, 3032, 3, LTS, III
552.3, 1505, 1, LTS, III
562.4, 2949, 3, RS, III
570.5, 1520, 1, LTS, III
