105.8, 2794, 3, FS, IV
105.9, 510, 0, FS, IV
105.9, 1122, 1, FS, V
105.9, 1133, 1, FS, V
105.9, 1210, 1, RS, IV
105.9, 1224, 1, RS, IV
105.9, 1283, 1, FS, IV
105.9, 2028, 2, FS, IV
106, 1242, 1, RS, IV
106.1, 1223, 1, RS, IV
106.1, 1226, 1, RS, IV
106.1, 1251, 1, RS, IV
106.1, 1269, 1, FS, IV
106.1, 1273, 1, FS, IV
106.1, 1284, 1, FS, IV
106.1, 2807, 3, FS, IV
106.2, 1128, 1, FS, V
106.2, 2047, 2, FS, IV
106.3, 1117, 1, FS, V
106.3, 1271, 1, FS, IV
106.3, 1275, 1, FS, IV
106.3, 1276, 1, FS, IV
106.4, 1229, 1, RS, IV
106.4, 1247, 1, RS, IV
106.4, 2790, 3, FS, IV
106.5, 1111, 1, FS, V
106.5, 2033, 2, FS, IV
106.6, 2804, 3, FS, IV
106.7, 1137, 1, FS, V
106.7, 2034, 2, FS, IV
106.8, 2042, 2, FS, IV
106.9, 2029, 2, FS, IV
106.9, 2793, 3, FS, IV
106.9, 2801, 3, FS, IV
107, 1123, 1, FS, V
107.1, 1131, 1, FS, V
107.1, 1132, 1, FS, V
107.1, 2031, 2, FS, IV
107.2, 1064, 1, RS, V
107.2, 1125, 1, FS, V
107.2, 1145, 1, FS, V
107.2, 1280, 1, FS, IV
107.2, 1287, 1, FS, IV
107.3, 513, 0, FS, IV
107.3, 1278, 1, FS, IV
107.3, 2038, 2, FS, IV
107.4, 1143, 1, FS, V
107.4, 1268, 1, FS, IV
107.4, 1272, 1, FS, IV
107.5, 1126, 1, FS, V
107.5, 1134, 1, FS, V
107.6, 1286, 1, FS, IV
107.7, 2035, 2, FS, IV
107.9, 523, 0, FS, IV
107.9, 1274, 1, FS, IV
107.9, 2044, 2, FS, IV
107.9, 2797, 3, FS, IV
108, 506, 0, FS, IV
108, 1232, 1, RS, IV
108, 1266, 1, FS, IV
108, 1279, 1, FS, IV
108, 1371, 1, RS, III
108.1, 509, 0, FS, IV
108.1, 1277, 1, FS, IV
108.1, 1505, 1, FS, III
108.1, 2789, 3, FS, IV
108.2, 681, 0, RS, III
108.2, 1270, 1, FS, IV
108.2, 1281, 1, FS, IV
108.2, 1288, 1, FS, IV
108.2, 1494, 1, FS, III
108.2, 2036, 2, FS, IV
108.3, 516, 0, FS, IV
108.3, 1289, 1, FS, IV
108.3, 1452, 1, RS, III
108.3, 1463, 1, RS, III
108.3, 1476, 1, RS, III
108.3, 1511, 1, FS, III
108.3, 2049, 2, FS, IV
108.4, 514, 0, FS, IV
108.4, 1282, 1, FS, IV
108.4, 1285, 1, FS, IV
108.4, 1359, 1, RS, III
108.5, 524, 0, FS, IV
108.5, 1396, 1, RS, III
108.5, 1438, 1, RS, III
108.5, 1495, 1, FS, III
108.5, 2048, 2, FS, IV
108.6, 511, 0, FS, IV
108.6, 520, 0, FS, IV
108.6, 1267, 1, FS, IV
108.6, 1315, 1, RS, III
108.6, 1330, 1, RS, III
108.6, 1352, 1, RS, III
108.6, 1430, 1, RS, III
108.6, 1459, 1, RS, III
108.6, 1469, 1, RS, III
108.6, 2032, 2, FS, IV
108.7, 1387, 1, RS, III
108.7, 1409, 1, RS, III
108.7, 1496, 1, FS, III
108.8, 510, 0, FS, IV
108.8, 1283, 1, FS, IV
108.8, 1366, 1, RS, III
108.8, 1453, 1, RS, III
108.8, 1472, 1, RS, III
108.8, 1484, 1, FS, III
108.8, 1490, 1, FS, III
108.8, 2039, 2, FS, IV
108.8, 2043, 2, FS, IV
108.8, 2059, 2, LTS, IV
108.9, 1314, 1, RS, III
108.9, 1349, 1, RS, III
108.9, 1368, 1, RS, III
108.9, 1407, 1, RS, III
108.9, 1412, 1, RS, III
108.9, 1426, 1, RS, III
108.9, 1457, 1, RS, III
108.9, 1485, 1, FS, III
108.9, 1507, 1, FS, III
109, 1269, 1, FS, IV
109, 1273, 1, FS, IV
109, 1284, 1, FS, IV
109, 1309, 1, RS, III
109, 1328, 1, RS, III
109, 1348, 1, RS, III
109, 1358, 1, RS, III
109, 1363, 1, RS, III
109, 1383, 1, RS, III
109, 1400, 1, RS, III
109, 1420, 1, RS, III
109, 1421, 1, RS, III
109, 1423, 1, RS, III
109, 2803, 3, FS, IV
109.1, 1295, 1, LTS, IV
109.1, 1360, 1, RS, III
109.1, 1361, 1, RS, III
109.1, 1377, 1, RS, III
109.1, 1434, 1, RS, III
109.1, 1455, 1, RS, III
109.1, 1466, 1, RS, III
109.1, 1477, 1, RS, III
109.1, 1501, 1, FS, III
109.2, 1271, 1, FS, IV
109.2, 1275, 1, FS, IV
109.2, 1276, 1, FS, IV
109.2, 1320, 1, RS, III
109.2, 1367, 1, RS, III
109.2, 1397, 1, RS, III
109.2, 1454, 1, RS, III
109.2, 1462, 1, RS, III
109.2, 1465, 1, RS, III
109.2, 1493, 1, FS, III
109.2, 1509, 1, FS, III
109.2, 1510, 1, FS, III
109.3, 518, 0, FS, IV
109.3, 1342, 1, RS, III
109.3, 1345, 1, RS, III
109.3, 1355, 1, RS, III
109.3, 1356, 1, RS, III
109.3, 1372, 1, RS, III
109.3, 1414, 1, RS, III
109.3, 1416, 1, RS, III
109.3, 1422, 1, RS, III
109.3, 1424, 1, RS, III
109.3, 1443, 1, RS, III
109.3, 1446, 1, RS, III
109.3, 1471, 1, RS, III
109.3, 1504, 1, FS, III
109.3, 2037, 2, FS, IV
109.4, 521, 0, FS, IV
109.4, 1336, 1, RS, III
109.4, 1343, 1, RS, III
109.4, 1353, 1, RS, III
109.4, 1370, 1, RS, III
109.4, 1373, 1, RS, III
109.4, 1388, 1, RS, III
109.4, 1394, 1, RS, III
109.4, 1406, 1, RS, III
109.4, 1415, 1, RS, III
109.4, 1439, 1, RS, III
109.4, 1444, 1, RS, III
109.4, 1448, 1, RS, III
109.4, 1480, 1, FS, III
109.4, 1499, 1, FS, III
109.4, 1500, 1, FS, III
109.4, 1503, 1, FS, III
109.4, 2033, 2, FS, IV
109.5, 1318, 1, RS, III
