101.2, 3418, 4, FS, V
101.3, 3799, 4, LTS, III
101.6, 2815, 3, LTS, IV
101.9, 2710, 3, IB, V
102, 2644, 3, FS, V
102.1, 3321, 4, RS, V
102.2, 1835, 2, RS, V
102.2, 3577, 4, LTS, IV
102.6, 2713, 3, IB, V
102.6, 3585, 4, LTS, IV
102.9, 2919, 3, RS, III
102.9, 2953, 3, RS, III
102.9, 3040, 3, LTS, III
103.1, 2661, 3, FS, V
103.3, 2664, 3, FS, V
103.3, 3038, 3, LTS, III
103.8, 2214, 2, RS, III
104, 3021, 3, FS, III
104.1, 1064, 1, RS, V
104.3, 2714, 3, IB, V
104.4, 2916, 3, RS, III
104.5, 2872, 3, RS, III
104.8, 3037, 3, LTS, III
105.2, 2712, 3, IB, V
105.3, 2059, 2, LTS, IV
105.4, 3419, 4, FS, V
105.5, 2599, 3, RS, V
105.7, 2616, 3, RS, V
105.8, 536, 0, LTS, IV
105.9, 3458, 4, IB, V
106.2, 2574, 3, RS, V
106.5, 3042, 3, LTS, III
106.6, 470, 0, RS, IV
106.7, 2663, 3, FS, V
107.3, 3429, 4, FS, V
107.4, 2696, 3, IB, V
107.5, 1192, 1, IB, V
107.6, 1041, 1, RS, V
107.6, 2825, 3, LTS, IV
107.8, 1862, 2, RS, V
107.9, 1178, 1, IB, V
107.9, 2688, 3, IB, V
108, 1949, 2, IB, V
108, 3456, 4, IB, V
108.9, 656, 0, RS, III
108.9, 1788, 2, LTS, VI
109, 1147, 1, LTS, V
109, 1418, 1, RS, III
109.3, 452, 0, RS, IV
109.3, 2709, 3, IB, V
109.7, 2566, 3, RS, V
109.7, 2573, 3, RS, V
110, 1842, 2, RS, V
110.1, 681, 0, RS, III
110.1, 2606, 3, RS, V
110.1, 2672, 3, LTS, V
110.2, 1164, 1, LTS, V
110.2, 1853, 2, RS, V
110.2, 3393, 4, FS, V
110.3, 1304, 1, LTS, IV
110.3, 2330, 3, RS, VI
110.4, 1116, 1, FS, V
110.6, 2161, 2, RS, III
110.6, 2591, 3, RS, V
110.6, 2600, 3, RS, V
110.6, 2823, 3, LTS, IV
110.9, 1142, 1, FS, V
110.9, 1882, 2, FS, V
111, 1930, 2, IB, V
111, 1934, 2, IB, V
111, 2708, 3, IB, V
111.1, 1110, 1, FS, V
111.4, 3398, 4, FS, V
111.5, 1578, 2, RS, VI
111.5, 2877, 3, RS, III
111.6, 1883, 2, FS, V
111.7, 2575, 3, RS, V
111.8, 2700, 3, IB, V
112.1, 1940, 2, IB, V
112.2, 1114, 1, FS, V
112.2, 2705, 3, IB, V
112.5, 1891, 2, FS, V
112.6, 1888, 2, FS, V
112.6, 2820, 3, LTS, IV
112.8, 1894, 2, FS, V
112.9, 2605, 3, RS, V
113, 188, 0, RS, VI
113, 753, 0, LTS, III
113, 1060, 1, RS, V
113, 1876, 2, FS, V
113.2, 1919, 2, LTS, V
113.3, 2824, 3, LTS, IV
113.4, 1869, 2, RS, V
113.5, 2594, 3, RS, V
113.7, 1817, 2, RS, V
113.8, 1920, 2, LTS, V
113.9, 1871, 2, FS, V
114, 1880, 2, FS, V
114, 1905, 2, FS, V
114.1, 1875, 2, FS, V
114.1, 1893, 2, FS, V
114.1, 1900, 2, FS, V
114.2, 1135, 1, FS, V
114.2, 1144, 1, FS, V
114.2, 1885, 2, FS, V
114.3, 1138, 1, FS, V
114.3, 1500, 1, FS, III
114.3, 1902, 2, FS, V
114.4, 1136, 1, FS, V
114.4, 1897, 2, FS, V
114.4, 2995, 3, RS, III
114.5, 1895, 2, FS, V
114.5, 2707, 3, IB, V
114.6, 1159, 1, LTS, V
114.7, 1519, 1, LTS, III
114.7, 1826, 2, RS, V
114.7, 1904, 2, FS, V
114.7, 2818, 3, LTS, IV
114.9, 2689, 3, IB, V
114.9, 3768, 4, FS, III
115, 1886, 2, FS, V
115, 2582, 3, RS, V
115, 2892, 3, RS, III
115.1, 2868, 3, RS, III
115.2, 1872, 2, FS, V
115.2, 2975, 3, RS, III
115.3, 2648, 3, FS, V
115.4, 1121, 1, FS, V
115.5, 2585, 3, RS, V
115.6, 1933, 2, IB, V
115.7, 2701, 3, IB, V
115.8, 2653, 3, FS, V
116, 1887, 2, FS, V
116, 2633, 3, FS, V
116, 2657, 3, FS, V
116.2, 537, 0, LTS, IV
116.2, 1890, 2, FS, V
116.2, 2654, 3, FS, V
116.3, 1127, 1, FS, V
116.3, 1932, 2, IB, V
116.3, 2652, 3, FS, V
116.3, 2812, 3, LTS, IV
116.4, 1852, 2, RS, V
116.5, 534, 0, LTS, IV
116.5, 2645, 3, FS, V
116.6, 549, 0, RS, III
116.7, 1126, 1, FS, V
116.8, 2662, 3, FS, V
116.8, 2703, 3, IB, V
116.9, 2650, 3, FS, V
117.3, 3578, 4, LTS, IV
117.4, 1175, 1, IB, V
117.4, 1306, 1, LTS, IV
117.4, 2664, 3, FS, V
117.4, 2813, 3, LTS, IV
117.4, 3034, 3, LTS, III
117.6, 291, 0, RS, V
117.6, 540, 0, LTS, IV
117.6, 2908, 3, RS, III
117.7, 3302, 4, FS, VI
117.8, 2666, 3, FS, V
117.9, 2941, 3, RS, III
118, 2668, 3, FS, V
118.1, 331, 0, RS, V
118.1, 701, 0, RS, III
118.1, 1298, 1, LTS, IV
