0, 0.0
0.1, 353.0286548085288
0.2, -229.0837937280967
0.3, -9.765030747965318
0.4, 225.91262556601987
0.5, -228.3460275204532
0.6, 191.18381945815162
0.7, -84.90712079225831
0.8, -75.41534585830335
0.9, 233.40003598466666
1, 184.0835952561983
1.1, -162.7866512019616
1.2, -263.61382497427286
1.3, -330.43894360548876
1.4, -129.46860577224714
1.5, -252.99993994445546
1.6, 248.09361926540186
1.7, -49.83492655625757
1.8, 270.93186343348077
1.9, 247.63187992330563
2, 65.60867382574676
2.1, -233.5059705550502
2.2, 37.83480397204697
2.3, -214.72579366915693
2.4, 218.5943984727992
2.5, 195.16699513376767
2.6, -119.23507430556366
2.7, 27.46382050616217
2.8, 86.28209079127828
2.9, -167.49914764796878
3, 618.9243513490597
3.1, -196.86882230834092
3.2, 52.40117866138479
3.3, 461.6141108950332
3.4, -240.79638545095028
3.5, 473.9367636711737
3.6, -133.63153731386114
3.7, -34.69251548912882
3.8, 236.24916892336077
3.9, -296.99396053496304
4, -712.7748204482006
4.1, -350.85508968704323
4.2, -631.6502663901878
4.3, 199.47463058792965
4.4, -154.40648249983607
4.5, -166.3534575331869
4.6, 366.79164517653817
4.7, -180.26972122804193
4.8, -337.3199322027431
4.9, 94.89045425386878
5, -304.7159408664197
5.1, 303.92758985962433
5.2, 24.211934249116748
5.3, -464.82832002167277
5.4, -99.80785775946826
5.5, 117.97584121710995
5.6, 53.33986213126882
5.7, 170.50011943682654
5.8, -109.30097855345272
5.9, -65.52487169988832
6, -399.5479802911582
6.1, 534.1687560170602
6.2, 383.95987004722673
6.3, -243.63089903072793
6.4, 344.5446920722691
6.5, 403.0669235880537
6.6, -1.5073898865313349
6.7, -443.27770372025725
6.8, 95.01727709967763
6.9, 259.82100077373605
7, 487.0394927774113
7.1, -288.425608096162
7.2, -104.83285633667008
7.3, -57.45899984967541
7.4, 203.13934103570915
7.5, -50.425121734729245
7.6, -236.8389303429118
7.7, 9.694284704851519
7.8, -101.64269064993536
7.9, -421.6212264032909
8, -314.1668978703707
8.1, 959.7820667392231
8.2, 234.11163387407453
8.3, 220.99432761434016
8.4, -377.3485717582763
8.5, -50.476998162562424
8.6, -327.4551058357589
8.7, -515.9889045790744
8.8, -246.27529276882976
8.9, 466.58171734105423
9, 679.7107492942248
9.1, -50.751847095815535
9.2, -397.28545958752983
9.3, -139.2256649878051
9.4, -81.94015268431968
9.5, -7.037741699711213
9.6, -318.5866532591593
9.7, -63.621413362513415
9.8, -233.8122162900241
9.9, -81.95629979104581
10, 3.3250677854728155
10.1, 83.73474155260844
10.2, -158.60200482519218
10.3, 302.560135442358
10.4, -421.2137547247803
10.5, 10.64609761366775
10.6, 477.18746805804585
10.7, -386.7107626758082
10.8, 19.003260670165826
10.9, -446.79248756815974
11, 202.17380002157228
11.1, -200.05376432992762
11.2, 43.80889053743758
11.3, -119.43116869574924
11.4, -341.35703220964245
11.5, 169.8197871285916
11.6, 391.71165673182196
11.7, 50.95254540419314
11.8, 739.1044282959155
11.9, -523.1424437160643
12, -226.8634242772895
12.1, -86.64817453848786
12.2, -234.11654905625556
12.3, -28.0447028913205
12.4, 60.40258102419381
12.5, 7.8387386265016525
12.6, -303.93848769146007
12.7, -430.23752441725543
12.8, -85.00797499575785
12.9, -66.92196894401103
13, -86.20359057927551
13.1, -59.939881321975406
13.2, 418.45330605018273
13.3, 233.417009086793
13.4, 413.0937219432822
13.5, -490.68127081307887
13.6, -186.5493643077727
13.7, -265.0959233720595
13.8, -120.18943593420302
13.9, 113.03538978208293
14, -414.6446284625892
14.1, -216.09940424071246
14.2, 182.33440376476992
14.3, 496.9043123118036
14.4, -343.5412095847102
14.5, 82.91827478141165
14.6, -27.88507077294
14.7, -316.56718122989923
14.8, 541.2246904549314
14.9, -372.6489207156795
15, 99.85359631448362
15.1, -49.60869238377107
15.2, -288.1152351618712
15.3, 235.02148533685886
15.4, -97.52443048969462
15.5, -273.67876092725436
15.6, -165.19573766245426
15.7, -15.37526197224392
15.8, -84.25168059728698
15.9, 439.4430152560651
16, -114.11424593625372
16.1, 88.22806345462277
16.2, 91.87530544401977
16.3, -78.11761083589445
16.4, -119.93226771489145
16.5, -325.10213265981605
16.6, 217.3922844979104
16.7, -234.61101857339503
16.8, -172.9720534914022
16.9, -325.0644390482847
17, -259.36313905069875
17.1, -391.3583978390228
17.2, -462.01789805756005
17.3, -208.73604489809384
17.4, 340.61714435027284
17.5, -141.9361105025663
17.6, -146.3445615824916
17.7, -381.0434532178581
17.8, -163.7767013323241
17.9, -52.45113859050496
18, -325.60730854118765
18.1, -333.92343557513846
18.2, -26.68025179069849
18.3, -650.9690704893442
18.4, -448.00447785823843
18.5, -261.7872260712635
18.6, 249.74398533941977
18.7, -284.47691471422905
18.8, -219.5516046584452
18.9, -265.8623873671018
19, -80.82111546077235
19.1, -766.1127642580725
19.2, -407.79043999851723
19.3, 178.49053952741238
19.4, -116.2111684358876
19.5, -113.37784329160182
19.6, -385.0332660352504
19.7, 361.19079473946016
19.8, -633.1622075760606
19.9, -243.23570749186413
20, -645.0532364391884
20.1, -895.50589082526
20.2, -376.5695414985765
20.3, -193.57449448885845
20.4, -457.66531387241207
20.5, -304.2398372162405
20.6, -415.34040529024213
20.7, -829.2784869971213
20.8, -119.66660048323162
20.9, -299.74446543513807
21, -443.0526686439942
21.1, -278.0002970611095
21.2, -712.6983892258237
21.3, -773.7546168247846
21.4, -55.672703073753205
21.5, -538.6179983144697
21.6, -290.0313914016345
21.7, -574.1090830824702
21.8, -371.0554082275472
