105.7, 1131, 1, FS, V
105.7, 1148, 1, FS, V
105.7, 1149, 1, FS, V
105.7, 1197, 1, RS, IV
105.8, 1123, 1, FS, V
105.8, 1229, 1, RS, IV
105.8, 1283, 1, FS, IV
105.9, 497, 0, RS, IV
105.9, 505, 0, RS, IV
105.9, 1137, 1, FS, V
105.9, 1226, 1, RS, IV
105.9, 1969, 2, RS, IV
105.9, 2014, 2, RS, IV
106, 445, 0, RS, IV
106, 452, 0, RS, IV
106, 1269, 1, RS, IV
106, 1996, 2, RS, IV
106.2, 1125, 1, FS, V
106.2, 1271, 1, RS, IV
106.3, 1144, 1, FS, V
106.4, 474, 0, RS, IV
106.4, 503, 0, RS, IV
106.4, 2027, 2, RS, IV
106.5, 480, 0, RS, IV
106.5, 1064, 1, RS, V
106.5, 1132, 1, FS, V
106.5, 1145, 1, FS, V
106.6, 1292, 1, FS, IV
106.7, 472, 0, RS, IV
106.7, 1956, 2, RS, IV
106.8, 1126, 1, FS, V
106.8, 1232, 1, RS, IV
106.9, 1278, 1, FS, IV
107, 1287, 1, FS, IV
107.2, 1997, 2, RS, IV
107.2, 2043, 2, FS, IV
107.3, 532, 0, FS, IV
107.3, 1280, 1, FS, IV
107.4, 438, 0, RS, IV
107.4, 512, 0, RS, IV
107.4, 517, 0, FS, IV
107.4, 518, 0, FS, IV
107.4, 1134, 1, FS, V
107.4, 1293, 1, FS, IV
107.4, 1471, 1, FS, III
107.5, 476, 0, RS, IV
107.5, 529, 0, FS, IV
107.5, 1282, 1, FS, IV
107.6, 524, 0, FS, IV
107.6, 526, 0, FS, IV
107.6, 527, 0, FS, IV
107.6, 1279, 1, FS, IV
107.6, 1288, 1, FS, IV
107.6, 1291, 1, FS, IV
107.6, 1434, 1, RS, III
107.6, 1484, 1, FS, III
107.6, 2047, 2, FS, IV
107.7, 520, 0, FS, IV
107.7, 522, 0, FS, IV
107.7, 1991, 2, RS, IV
107.7, 2039, 2, FS, IV
107.7, 2048, 2, FS, IV
107.7, 2052, 2, FS, IV
107.7, 2054, 2, FS, IV
107.8, 531, 0, FS, IV
107.8, 1394, 1, RS, III
107.8, 2042, 2, FS, IV
107.9, 500, 0, RS, IV
107.9, 519, 0, FS, IV
107.9, 528, 0, FS, IV
107.9, 1286, 1, FS, IV
107.9, 1392, 1, RS, III
107.9, 1409, 1, RS, III
107.9, 1447, 1, RS, III
107.9, 2051, 2, FS, IV
107.9, 2053, 2, FS, IV
108, 467, 0, RS, IV
108, 521, 0, FS, IV
108, 523, 0, FS, IV
108, 525, 0, FS, IV
108, 1290, 1, FS, IV
108, 1294, 1, LTS, IV
108, 1300, 1, LTS, IV
108, 1343, 1, RS, III
108, 1482, 1, FS, III
108, 2040, 2, FS, IV
108.1, 530, 0, FS, IV
108.1, 1281, 1, FS, IV
