15.5, 3033, 3, LTS, III
311, 1331, 1, RS, III
311, 1488, 1, FS, III
311, 2119, 2, RS, III
311.1, 1405, 1, RS, III
311.1, 1435, 1, RS, III
311.1, 1440, 1, RS, III
311.1, 1474, 1, RS, III
311.2, 1437, 1, RS, III
311.3, 1445, 1, RS, III
311.3, 1476, 1, FS, III
311.3, 2259, 2, FS, III
311.4, 1311, 1, RS, III
311.4, 2237, 2, FS, III
311.4, 2261, 2, FS, III
311.5, 722, 0, FS, III
311.5, 1399, 1, RS, III
311.6, 1356, 1, RS, III
311.6, 1359, 1, RS, III
311.6, 1515, 1, LTS, III
311.8, 1462, 1, RS, III
312.2, 1330, 1, RS, III
312.2, 1380, 1, RS, III
312.2, 1467, 1, RS, III
312.3, 2168, 2, RS, III
312.4, 591, 0, RS, III
312.5, 735, 0, FS, III
312.5, 1335, 1, RS, III
312.6, 651, 0, RS, III
312.6, 1428, 1, RS, III
312.6, 1505, 1, LTS, III
312.6, 2181, 2, RS, III
312.7, 1404, 1, RS, III
312.7, 1414, 1, RS, III
312.7, 1460, 1, RS, III
312.7, 1497, 1, FS, III
312.8, 1418, 1, RS, III
312.8, 2241, 2, FS, III
312.9, 552, 0, RS, III
312.9, 1314, 1, RS, III
312.9, 1370, 1, RS, III
312.9, 1483, 1, FS, III
313, 1436, 1, RS, III
313, 1491, 1, FS, III
313.1, 1369, 1, RS, III
313.2, 715, 0, FS, III
313.2, 1378, 1, RS, III
313.2, 1473, 1, RS, III
313.3, 618, 0, RS, III
313.4, 1310, 1, RS, III
313.4, 1315, 1, RS, III
313.4, 1338, 1, RS, III
313.4, 1393, 1, RS, III
313.4, 1403, 1, RS, III
313.4, 1407, 1, RS, III
313.5, 1322, 1, RS, III
313.5, 1447, 1, RS, III
313.5, 2257, 2, FS, III
313.6, 577, 0, RS, III
313.6, 1343, 1, RS, III
313.6, 1391, 1, RS, III
313.6, 2162, 2, RS, III
313.6, 2214, 2, RS, III
313.7, 1344, 1, RS, III
313.7, 1409, 1, RS, III
313.7, 1416, 1, RS, III
313.7, 1501, 1, FS, III
313.8, 1329, 1, RS, III
313.8, 1350, 1, RS, III
313.8, 1355, 1, RS, III
313.9, 1313, 1, RS, III
313.9, 1342, 1, RS, III
313.9, 1425, 1, RS, III
313.9, 1463, 1, RS, III
313.9, 1466, 1, RS, III
314, 740, 0, FS, III
314, 1426, 1, RS, III
314, 1470, 1, RS, III
314.1, 732, 0, FS, III
314.1, 1385, 1, RS, III
314.1, 1433, 1, RS, III
314.1, 1455, 1, RS, III
314.1, 1469, 1, RS, III
314.1, 2256, 2, FS, III
314.2, 1345, 1, RS, III
314.2, 1423, 1, RS, III
314.2, 1432, 1, RS, III
314.2, 1471, 1, RS, III
314.3, 632, 0, RS, III
314.3, 1494, 1, FS, III
314.4, 737, 0, FS, III
314.4, 1496, 1, FS, III
314.5, 728, 0, FS, III
314.5, 738, 0, FS, III
314.5, 1368, 1, RS, III
314.5, 1464, 1, RS, III
314.6, 628, 0, RS, III
314.6, 1487, 1, FS, III
314.7, 1320, 1, RS, III
314.7, 1354, 1, RS, III
314.7, 1489, 1, FS, III
314.7, 1493, 1, FS, III
314.8, 1396, 1, RS, III
314.8, 1468, 1, RS, III
314.9, 1332, 1, RS, III
314.9, 1340, 1, RS, III
314.9, 1371, 1, RS, III
314.9, 1413, 1, RS, III
314.9, 1439, 1, RS, III
315, 727, 0, FS, III
315, 1316, 1, RS, III
315, 2096, 2, RS, III
315.1, 675, 0, RS, III
315.1, 1308, 1, RS, III
315.1, 1317, 1, RS, III
315.1, 1347, 1, RS, III
315.1, 1348, 1, RS, III
315.1, 1376, 1, RS, III
315.1, 1443, 1, RS, III
315.1, 1459, 1, RS, III
315.1, 1472, 1, RS, III
315.2, 1328, 1, RS, III
315.2, 1351, 1, RS, III
315.2, 3013, 3, FS, III
315.3, 598, 0, RS, III
315.3, 1319, 1, RS, III
315.3, 1336, 1, RS, III
315.3, 1360, 1, RS, III
315.3, 1412, 1, RS, III
315.3, 1449, 1, RS, III
315.3, 2196, 2, RS, III
315.4, 716, 0, FS, III
315.4, 1431, 1, RS, III
315.4, 2087, 2, RS, III
315.5, 657, 0, RS, III
315.5, 1381, 1, RS, III
315.5, 1465, 1, RS, III
315.5, 2107, 2, RS, III
315.6, 641, 0, RS, III
315.6, 723, 0, FS, III
315.6, 2114, 2, RS, III
315.7, 730, 0, FS, III
315.7, 2253, 2, FS, III
315.8, 725, 0, FS, III
315.8, 2131, 2, RS, III
315.9, 1312, 1, RS, III
315.9, 1325, 1, RS, III
315.9, 1362, 1, RS, III
315.9, 1379, 1, RS, III
315.9, 1442, 1, RS, III
316, 669, 0, RS, III
316, 2090, 2, RS, III
316.1, 724, 0, FS, III
316.1, 1374, 1, RS, III
316.1, 1375, 1, RS, III
316.1, 1417, 1, RS, III
316.1, 1422, 1, RS, III
316.2, 1400, 1, RS, III
316.2, 1482, 1, FS, III
316.2, 1492, 1, FS, III
316.3, 1498, 1, FS, III
316.4, 1411, 1, RS, III
316.4, 1429, 1, RS, III
316.4, 2240, 2, FS, III
316.5, 733, 0, FS, III
316.5, 1388, 1, RS, III
316.7, 572, 0, RS, III
316.7, 719, 0, FS, III
316.7, 1457, 1, RS, III
316.7, 2166, 2, RS, III
316.7, 2221, 2, RS, III
316.7, 2255, 2, FS, III
316.8, 670, 0, RS, III
316.8, 2250, 2, FS, III
316.8, 2251, 2, FS, III
316.9, 2238, 2, FS, III
316.9, 2239, 2, FS, III
316.9, 2245, 2, FS, III
317, 721, 0, FS, III
317, 1486, 1, FS, III
317.1, 607, 0, RS, III
317.1, 2248, 2, FS, III
317.2, 551, 0, RS, III
317.2, 1346, 1, RS, III
317.2, 1399, 1, RS, III
317.2, 2249, 2, FS, III
317.3, 726, 0, FS, III
317.3, 1401, 1, RS, III
317.3, 1477, 1, FS, III
317.3, 2133, 2, RS, III
317.4, 1421, 1, RS, III
317.4, 1430, 1, RS, III
317.5, 1382, 1, RS, III
317.5, 1484, 1, FS, III
317.6, 1392, 1, RS, III
317.6, 1408, 1, RS, III
317.7, 708, 0, RS, III
317.7, 1476, 1, FS, III
317.7, 2089, 2, RS, III
317.8, 593, 0, RS, III
317.8, 718, 0, FS, III
317.8, 1372, 1, RS, III
317.8, 2243, 2, FS, III
317.9, 1358, 1, RS, III
317.9, 1415, 1, RS, III
317.9, 3005, 3, FS, III
318, 729, 0, FS, III
318, 1337, 1, RS, III
318, 1389, 1, RS, III
318, 1487, 1, FS, III
318, 1497, 1, FS, III
318, 2254, 2, FS, III
318.1, 571, 0, RS, III
318.1, 717, 0, FS, III
318.1, 739, 0, FS, III
318.1, 1481, 1, FS, III
318.1, 1494, 1, FS, III
318.1, 1495, 1, FS, III
318.2, 1327, 1, RS, III
318.2, 1334, 1, RS, III
318.2, 1357, 1, RS, III
318.2, 2260, 2, FS, III
318.2, 2262, 2, FS, III
318.3, 1352, 1, RS, III
318.3, 1438, 1, RS, III
318.3, 2104, 2, RS, III
318.4, 646, 0, RS, III
318.4, 677, 0, RS, III
318.4, 735, 0, FS, III
318.4, 1365, 1, RS, III
318.4, 1451, 1, RS, III
318.4, 2113, 2, RS, III
318.5, 1384, 1, RS, III
318.6, 736, 0, FS, III
318.6, 1404, 1, RS, III
318.6, 1493, 1, FS, III
318.6, 1500, 1, FS, III
318.6, 3007, 3, FS, III
318.7, 1323, 1, RS, III
318.7, 1324, 1, RS, III
318.7, 1395, 1, RS, III
318.7, 2259, 2, FS, III
318.8, 2142, 2, RS, III
318.8, 2177, 2, RS, III
318.8, 3023, 3, FS, III
318.9, 727, 0, FS, III
318.9, 1330, 1, RS, III
318.9, 1458, 1, RS, III
318.9, 1480, 1, FS, III
318.9, 2218, 2, RS, III
319, 1394, 1, RS, III
319, 1402, 1, RS, III
319.1, 698, 0, RS, III
319.1, 1448, 1, RS, III
319.1, 1488, 1, FS, III
319.2, 1361, 1, RS, III
319.2, 1489, 1, FS, III
319.2, 1491, 1, FS, III
319.2, 3003, 3, FS, III
319.2, 3017, 3, FS, III
319.3, 2241, 2, FS, III
319.3, 2252, 2, FS, III
319.3, 3004, 3, FS, III
319.4, 1333, 1, RS, III
319.4, 1499, 1, FS, III
319.5, 1397, 1, RS, III
319.5, 1416, 1, RS, III
319.5, 2158, 2, RS, III
319.5, 3011, 3, FS, III
319.6, 620, 0, RS, III
319.7, 1350, 1, RS, III
319.7, 1386, 1, RS, III
319.7, 2097, 2, RS, III
319.8, 661, 0, RS, III
319.8, 737, 0, FS, III
319.8, 1326, 1, RS, III
319.8, 2154, 2, RS, III
319.8, 2159, 2, RS, III
319.8, 2250, 2, FS, III
319.9, 1485, 1, FS, III
320, 666, 0, RS, III
320, 721, 0, FS, III
320, 2110, 2, RS, III
320.1, 2247, 2, FS, III
320.1, 3012, 3, FS, III
320.2, 1423, 1, RS, III
320.2, 2256, 2, FS, III
320.3, 732, 0, FS, III
320.3, 1492, 1, FS, III
320.4, 1450, 1, RS, III
320.4, 3014, 3, FS, III
320.5, 733, 0, FS, III
320.5, 1434, 1, RS, III
320.5, 1498, 1, FS, III
320.5, 2157, 2, RS, III
320.6, 1309, 1, RS, III
320.6, 3020, 3, FS, III
320.7, 1405, 1, RS, III
320.7, 1496, 1, FS, III
320.7, 2116, 2, RS, III
320.8, 1483, 1, FS, III
320.8, 2253, 2, FS, III
320.8, 2258, 2, FS, III
320.9, 705, 0, RS, III
320.9, 730, 0, FS, III
321, 1469, 1, RS, III
321, 2998, 3, FS, III
321.1, 1364, 1, RS, III
321.1, 1482, 1, FS, III
321.1, 2233, 2, RS, III
321.1, 3000, 3, FS, III
321.2, 2244, 2, FS, III
321.4, 3006, 3, FS, III
321.4, 3019, 3, FS, III
321.5, 2093, 2, RS, III
321.6, 546, 0, RS, III
321.6, 1331, 1, RS, III
321.6, 1381, 1, RS, III
321.6, 1497, 1, FS, III
321.7, 595, 0, RS, III
321.7, 1486, 1, FS, III
321.8, 1441, 1, RS, III
321.8, 1495, 1, FS, III
321.8, 1501, 1, FS, III
321.8, 2239, 2, FS, III
321.9, 1318, 1, RS, III
321.9, 1479, 1, FS, III
321.9, 2194, 2, RS, III
322, 1373, 1, RS, III
322.1, 1385, 1, RS, III
322.2, 2179, 2, RS, III
322.2, 3016, 3, FS, III
322.3, 1396, 1, RS, III
322.3, 2130, 2, RS, III
322.4, 1484, 1, FS, III
322.5, 2895, 3, RS, III
322.6, 1398, 1, RS, III
322.6, 2999, 3, FS, III
322.7, 3001, 3, FS, III
322.9, 2199, 2, RS, III
322.9, 3021, 3, FS, III
323.1, 1411, 1, RS, III
323.2, 717, 0, FS, III
323.3, 2880, 3, RS, III
323.4, 1383, 1, RS, III
323.4, 2261, 2, FS, III
323.6, 1494, 1, FS, III
323.8, 716, 0, FS, III
323.9, 2238, 2, FS, III
324.3, 2220, 2, RS, III
324.4, 1390, 1, RS, III
324.4, 1452, 1, RS, III
324.6, 1311, 1, RS, III
324.7, 1491, 1, FS, III
324.8, 1476, 1, FS, III
324.8, 2170, 2, RS, III
324.9, 1417, 1, RS, III
324.9, 2077, 2, RS, III
325.2, 2256, 2, FS, III
325.4, 2867, 3, RS, III
325.5, 2098, 2, RS, III
325.5, 2259, 2, FS, III
326.1, 2106, 2, RS, III
326.3, 1349, 1, RS, III
326.4, 599, 0, RS, III
326.8, 1456, 1, RS, III
327, 739, 0, FS, III
327.1, 2240, 2, FS, III
327.5, 1348, 1, RS, III
328.1, 640, 0, RS, III
328.6, 1463, 1, RS, III
329.6, 2262, 2, FS, III
330.1, 2121, 2, RS, III
336.5, 2227, 2, RS, III
336.7, 664, 0, RS, III
344.9, 694, 0, RS, III
357, 2268, 2, LTS, III
357, 3040, 3, LTS, III
358.1, 757, 0, LTS, III
361.1, 1510, 1, LTS, III
361.1, 2282, 2, LTS, III
361.2, 745, 0, LTS, III
362, 746, 0, LTS, III
364, 759, 0, LTS, III
365.7, 3027, 3, LTS, III
366.1, 1506, 1, LTS, III
368.1, 3042, 3, LTS, III
369.8, 1511, 1, LTS, III
371.1, 749, 0, LTS, III
372.4, 755, 0, LTS, III
372.9, 760, 0, LTS, III
376.4, 2281, 2, LTS, III
377.5, 3033, 3, LTS, III
378, 3803, 4, LTS, III
379.1, 3029, 3, LTS, III
381, 3788, 4, LTS, III
385.3, 2280, 2, LTS, III
400.8, 3716, 4, RS, III
402, 2266, 2, LTS, III
413.4, 742, 0, LTS, III
415.9, 2271, 2, LTS, III
418.4, 2267, 2, LTS, III
418.6, 1505, 1, LTS, III
429.5, 3032, 3, LTS, III
443.1, 1519, 1, LTS, III
445.9, 2091, 2, RS, III
446.5, 3789, 4, LTS, III
452.9, 1520, 1, LTS, III
462.9, 3804, 4, LTS, III
463.5, 2268, 2, LTS, III
468.1, 1521, 1, LTS, III
478.6, 760, 0, LTS, III
487.1, 3027, 3, LTS, III
487.3, 1510, 1, LTS, III
497.4, 758, 0, LTS, III
507.1, 749, 0, LTS, III
509.5, 1509, 1, LTS, III
514.6, 750, 0, LTS, III
519.8, 759, 0, LTS, III
536.4, 746, 0, LTS, III
537.1, 1507, 1, LTS, III
537.3, 3790, 4, LTS, III
546.2, 1369, 1, RS, III
550, 3032, 3, LTS, III
561.8, 2949, 3, RS, III
568.2, 1520, 1, LTS, III
581.7, 1322, 1, RS, III
583.7, 1413, 1, RS, III
586.4, 2914, 3, RS, III
587.9, 2225, 2, RS, III
588.4, 2282, 2, LTS, III
591.3, 3043, 3, LTS, III
599.1, 3802, 4, LTS, III
603.9, 744, 0, LTS, III
604, 1394, 1, RS, III
605.6, 2224, 2, RS, III
606.9, 3789, 4, LTS, III
610.6, 3788, 4, LTS, III
611.6, 3028, 3, LTS, III
615.3, 2937, 3, RS, III
617.2, 3611, 4, RS, III
621.2, 1511, 1, LTS, III
628.7, 760, 0, LTS, III
632.1, 750, 0, LTS, III
632.6, 3803, 4, LTS, III
640, 749, 0, LTS, III
643, 3804, 4, LTS, III
644.5, 3790, 4, LTS, III
649, 3793, 4, LTS, III
651.1, 3027, 3, LTS, III
652.1, 2266, 2, LTS, III
652.9, 3752, 4, RS, III
653.7, 2274, 2, LTS, III
657.7, 581, 0, RS, III
662.8, 675, 0, RS, III
663.7, 3727, 4, RS, III
665.1, 1520, 1, LTS, III
665.1, 2282, 2, LTS, III
667.1, 758, 0, LTS, III
676.1, 3719, 4, RS, III
684.9, 3802, 4, LTS, III
685.6, 3789, 4, LTS, III
686.8, 746, 0, LTS, III
689.6, 2267, 2, LTS, III
693.4, 3033, 3, LTS, III
711.2, 745, 0, LTS, III
718.4, 1518, 1, LTS, III
723.2, 2279, 2, LTS, III
726, 3043, 3, LTS, III
730.1, 612, 0, RS, III
730.6, 3669, 4, RS, III
748.6, 1502, 1, LTS, III
750.3, 1505, 1, LTS, III
753.9, 3041, 3, LTS, III
759.5, 749, 0, LTS, III
782.1, 3031, 3, LTS, III
782.4, 3029, 3, LTS, III
799.8, 2266, 2, LTS, III
809.9, 645, 0, RS, III
812.1, 3802, 4, LTS, III
815.6, 745, 0, LTS, III
822, 3043, 3, LTS, III
824.3, 744, 0, LTS, III
825.7, 2200, 2, RS, III
827.8, 1506, 1, LTS, III
830.4, 3714, 4, RS, III
831.7, 1518, 1, LTS, III
835.1, 2177, 2, RS, III
836, 2198, 2, RS, III
864.8, 2282, 2, LTS, III
868.1, 2160, 2, RS, III
869.2, 3804, 4, LTS, III
885.4, 3041, 3, LTS, III
891.4, 1511, 1, LTS, III
902.5, 1519, 1, LTS, III
904.2, 1505, 1, LTS, III
910.8, 749, 0, LTS, III
911.1, 1521, 1, LTS, III
912.9, 1413, 1, RS, III
923.2, 3788, 4, LTS, III
924.7, 2188, 2, RS, III
927.9, 2275, 2, LTS, III
936.2, 3036, 3, LTS, III
941.2, 3793, 4, LTS, III
944.3, 744, 0, LTS, III
953.5, 3790, 4, LTS, III
955.9, 1506, 1, LTS, III
956.6, 2280, 2, LTS, III
963.8, 1507, 1, LTS, III
968.6, 3028, 3, LTS, III
987.7, 1401, 1, RS, III
