110.1, 2046, 2, FS, IV
110.1, 2052, 2, FS, IV
110.2, 1218, 1, RS, IV
110.2, 1233, 1, RS, IV
110.2, 1263, 1, RS, IV
110.2, 1277, 1, FS, IV
110.2, 1472, 1, RS, III
110.2, 1478, 1, RS, III
110.2, 1500, 1, FS, III
110.2, 2042, 2, FS, IV
110.3, 1147, 1, LTS, V
110.3, 1281, 1, FS, IV
110.3, 1330, 1, RS, III
110.3, 1447, 1, RS, III
110.3, 1473, 1, RS, III
110.4, 1291, 1, FS, IV
110.4, 1316, 1, RS, III
110.4, 1438, 1, RS, III
110.4, 1439, 1, RS, III
110.4, 2053, 2, FS, IV
110.5, 254, 0, LTS, VI
110.5, 1128, 1, FS, V
110.5, 1309, 1, RS, III
110.5, 1358, 1, RS, III
110.5, 1426, 1, RS, III
110.5, 1436, 1, RS, III
110.5, 1504, 1, FS, III
110.5, 2045, 2, FS, IV
110.6, 1251, 1, RS, IV
110.6, 1294, 1, LTS, IV
110.6, 1320, 1, RS, III
110.6, 1363, 1, RS, III
110.6, 1367, 1, RS, III
110.6, 1427, 1, RS, III
110.6, 1453, 1, RS, III
110.6, 1456, 1, RS, III
110.6, 2050, 2, FS, IV
110.7, 1279, 1, FS, IV
110.7, 1284, 1, FS, IV
110.7, 1298, 1, LTS, IV
110.7, 1326, 1, RS, III
110.7, 1406, 1, RS, III
110.7, 1419, 1, RS, III
110.7, 1423, 1, RS, III
110.7, 1442, 1, RS, III
110.7, 1451, 1, RS, III
110.7, 1476, 1, RS, III
110.7, 1494, 1, FS, III
110.8, 1287, 1, FS, IV
110.8, 1288, 1, FS, IV
110.8, 1391, 1, RS, III
110.8, 1416, 1, RS, III
110.8, 1428, 1, RS, III
110.8, 1450, 1, RS, III
110.8, 1458, 1, RS, III
110.8, 1505, 1, FS, III
110.9, 1282, 1, FS, IV
110.9, 1283, 1, FS, IV
110.9, 1292, 1, FS, IV
110.9, 1342, 1, RS, III
110.9, 1343, 1, RS, III
110.9, 1377, 1, RS, III
110.9, 1386, 1, RS, III
110.9, 1411, 1, RS, III
110.9, 1437, 1, RS, III
110.9, 1480, 1, FS, III
110.9, 1502, 1, FS, III
111, 1348, 1, RS, III
111, 1383, 1, RS, III
111, 1449, 1, RS, III
111, 1461, 1, RS, III
111.1, 1275, 1, FS, IV
111.1, 1278, 1, FS, IV
111.1, 1285, 1, FS, IV
111.1, 1319, 1, RS, III
111.1, 1328, 1, RS, III
111.1, 1350, 1, RS, III
111.1, 1373, 1, RS, III
111.1, 1469, 1, RS, III
111.1, 1482, 1, FS, III
111.1, 1506, 1, FS, III
111.1, 1509, 1, FS, III
111.1, 2037, 2, FS, IV
111.2, 1349, 1, RS, III
111.2, 1378, 1, RS, III
111.2, 1389, 1, RS, III
111.2, 1440, 1, RS, III
111.2, 1487, 1, FS, III
111.2, 1496, 1, FS, III
111.2, 2038, 2, FS, IV
111.3, 1302, 1, LTS, IV
111.3, 1336, 1, RS, III
111.3, 1352, 1, RS, III
111.3, 1368, 1, RS, III
111.3, 1398, 1, RS, III
111.3, 1435, 1, RS, III
111.3, 1471, 1, RS, III
111.3, 1474, 1, RS, III
111.3, 1477, 1, RS, III
111.4, 1276, 1, FS, IV
111.4, 1322, 1, RS, III
111.4, 1329, 1, RS, III
111.4, 1338, 1, RS, III
111.4, 1344, 1, RS, III
111.4, 1371, 1, RS, III
111.4, 1375, 1, RS, III
111.4, 1397, 1, RS, III
111.4, 1399, 1, RS, III
111.4, 1446, 1, RS, III
111.4, 1452, 1, RS, III
111.4, 1492, 1, FS, III
111.4, 2035, 2, FS, IV
111.4, 2051, 2, FS, IV
111.5, 1299, 1, LTS, IV
111.5, 1311, 1, RS, III
111.5, 1313, 1, RS, III
111.5, 1370, 1, RS, III
111.5, 1381, 1, RS, III
111.5, 1387, 1, RS, III
111.5, 1420, 1, RS, III
111.5, 1421, 1, RS, III
111.5, 1448, 1, RS, III
111.5, 1467, 1, RS, III
111.5, 1493, 1, FS, III
111.5, 2036, 2, FS, IV
111.6, 513, 0, FS, IV
111.6, 518, 0, FS, IV
111.6, 1315, 1, RS, III
111.6, 1325, 1, RS, III
111.6, 1345, 1, RS, III
111.6, 1354, 1, RS, III
111.6, 1395, 1, RS, III
111.6, 1455, 1, RS, III
111.6, 1465, 1, RS, III
111.6, 1497, 1, FS, III
111.7, 1333, 1, RS, III
111.7, 1357, 1, RS, III
111.7, 1382, 1, RS, III
111.7, 1403, 1, RS, III
111.7, 1425, 1, RS, III
111.7, 1444, 1, RS, III
111.7, 1501, 1, FS, III
111.7, 1507, 1, FS, III
111.7, 1508, 1, FS, III
111.8, 1314, 1, RS, III
111.8, 1339, 1, RS, III
111.8, 1374, 1, RS, III
111.8, 1384, 1, RS, III
111.8, 1402, 1, RS, III
111.8, 1407, 1, RS, III
111.8, 1418, 1, RS, III
111.8, 1429, 1, RS, III
111.8, 1459, 1, RS, III
111.8, 1499, 1, FS, III
111.9, 1077, 1, RS, V
111.9, 1308, 1, RS, III
111.9, 1318, 1, RS, III
111.9, 1355, 1, RS, III
111.9, 1364, 1, RS, III
111.9, 1366, 1, RS, III
111.9, 1392, 1, RS, III
111.9, 1408, 1, RS, III
111.9, 1417, 1, RS, III
111.9, 1422, 1, RS, III
111.9, 1441, 1, RS, III
111.9, 1484, 1, FS, III
111.9, 1488, 1, FS, III
111.9, 1510, 1, FS, III
112, 1124, 1, FS, V
112, 1331, 1, RS, III
112, 1353, 1, RS, III
112, 1365, 1, RS, III
112, 1372, 1, RS, III
112, 1380, 1, RS, III
112, 1394, 1, RS, III
112, 1463, 1, RS, III
112, 1464, 1, RS, III
112, 1479, 1, RS, III
112, 1485, 1, FS, III
112, 1503, 1, FS, III
112.1, 1286, 1, FS, IV
112.1, 1327, 1, RS, III
112.1, 1334, 1, RS, III
112.1, 1335, 1, RS, III
112.1, 1347, 1, RS, III
112.1, 1404, 1, RS, III
112.1, 1483, 1, FS, III
112.1, 2054, 2, FS, IV
112.2, 520, 0, FS, IV
112.2, 1306, 1, LTS, IV
112.2, 1310, 1, RS, III
112.2, 1332, 1, RS, III
112.2, 1409, 1, RS, III
112.2, 1454, 1, RS, III
112.2, 1462, 1, RS, III
112.2, 1489, 1, FS, III
112.2, 1495, 1, FS, III
112.3, 1064, 1, RS, V
112.3, 1274, 1, FS, IV
112.3, 1290, 1, FS, IV
112.3, 1388, 1, RS, III
112.3, 1390, 1, RS, III
112.3, 1405, 1, RS, III
112.3, 1486, 1, FS, III
112.4, 528, 0, FS, IV
112.4, 1293, 1, FS, IV
112.4, 1317, 1, RS, III
112.4, 1323, 1, RS, III
112.4, 1356, 1, RS, III
112.4, 1457, 1, RS, III
112.4, 1470, 1, RS, III
112.4, 1490, 1, FS, III
112.5, 523, 0, FS, IV
112.5, 1346, 1, RS, III
112.5, 1361, 1, RS, III
112.6, 519, 0, FS, IV
112.6, 1307, 1, RS, III
112.6, 1351, 1, RS, III
112.6, 1410, 1, RS, III
112.6, 1443, 1, RS, III
112.6, 1445, 1, RS, III
112.7, 521, 0, FS, IV
112.7, 1359, 1, RS, III
112.7, 1362, 1, RS, III
112.7, 1413, 1, RS, III
112.8, 514, 0, FS, IV
112.8, 522, 0, FS, IV
112.8, 1324, 1, RS, III
112.8, 1341, 1, RS, III
112.8, 1360, 1, RS, III
112.8, 1415, 1, RS, III
112.8, 2044, 2, FS, IV
112.9, 530, 0, FS, IV
112.9, 1321, 1, RS, III
112.9, 1498, 1, FS, III
112.9, 2672, 3, LTS, V
113, 1280, 1, FS, IV
113, 1468, 1, RS, III
113.1, 1466, 1, RS, III
113.1, 1500, 1, FS, III
113.2, 516, 0, FS, IV
113.2, 527, 0, FS, IV
113.2, 1281, 1, FS, IV
113.2, 1337, 1, RS, III
113.2, 1414, 1, RS, III
113.3, 1116, 1, RS, V
113.3, 1291, 1, FS, IV
113.3, 1412, 1, RS, III
113.3, 1475, 1, RS, III
113.4, 1481, 1, FS, III
113.4, 1504, 1, FS, III
113.4, 3429, 4, LTS, V
113.5, 1430, 1, RS, III
113.5, 1491, 1, FS, III
113.5, 2043, 2, FS, IV
113.6, 1061, 1, RS, V
113.6, 1102, 1, RS, V
113.6, 1284, 1, FS, IV
113.6, 1340, 1, RS, III
113.6, 2042, 2, FS, IV
113.6, 2047, 2, FS, IV
113.7, 1167, 1, IB, V
113.7, 1288, 1, FS, IV
113.7, 1289, 1, FS, IV
113.8, 1049, 1, RS, V
113.8, 1385, 1, RS, III
113.8, 1433, 1, RS, III
113.8, 1502, 1, FS, III
113.9, 1111, 1, RS, V
113.9, 1165, 1, IB, V
113.9, 1376, 1, RS, III
114, 531, 0, FS, IV
114, 1051, 1, RS, V
