60,-0.25,-3.44,-0.37,-0.29,-0.22
70,-0.49,-3.43,-0.65,-0.84,-0.66
80,-1.01,-3.46,-1.45,-1.92,-1.72
90,-2.65,-4.13,-5.32,-5.11,-4.76
