2,688,837,615,884,99,505,,,,,,
4,25,25,22,45,99,43,,,,,,
7,15,15,16,16,16,40,,,,,,
15,13,13,13,16,25,27,,,,,,
25,13,13,16,18,21,33,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
